period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-07,2021-07-15,44,2.0024601477563078,23656.25,2.0024601477563078,23656.25,2.0024601477563078,23656.25,2.0024601477563078,23656.25,2.0024601477563078,23656.25,2.0,2.0
2021-09,2021-09-15,43,-1.0254957501662239,-13406.25,-1.5209640902544788,-19826.25,-2.376325080714061,-30763.75,-2.1031013358847916,-27326.25,-2.0001301689511104,-25972.083333333332,-1.03,-2.0
2021-11,2021-11-15,44,-0.6172323016172347,-8232.5,-1.4025187112130997,-18636.0,-0.3935387440012068,-5250.0,-1.878770622017296,-24886.0,-1.224942692410534,-16257.333333333334,-0.62,-1.22
2022-01,2022-01-15,41,0.3842171859297669,4535.0,-1.564569780949288,-18420.0,-1.4724937253326194,-17340.0,-1.9927078274196943,-23420.0,-1.6765904445672006,-19726.666666666668,0.38,-1.68
2022-03,2022-03-15,43,4.5747318054351025,58312.5,4.5747318054351025,58312.5,4.5747318054351025,58312.5,4.5747318054351025,58312.5,4.5747318054351025,58312.5,4.57,4.57
2022-05,2022-05-15,44,0.5504109199682217,6593.75,0.5504109199682217,6593.75,0.5504109199682217,6593.75,0.5504109199682217,6593.75,0.5504109199682217,6593.75,0.55,0.55
2022-07,2022-07-15,44,0.45560237983926705,4968.75,-3.088140425984865,-33070.75,-0.3595008027821385,-3917.25,-4.224858928432099,-44508.25,-2.557500052399701,-27165.416666666668,0.46,-2.56
2022-09,2022-09-15,43,-0.19169668383174016,-2365.75,-0.7505989018699044,-9229.75,0.12351453974217219,1520.25,3.1028924536028115,37520.25,0.8252693638250265,9936.916666666666,-0.19,0.83
2022-11,2022-11-15,43,-1.3893750546680068,-16812.5,-1.3893750546680068,-16812.5,-1.3893750546680068,-16812.5,-3.7629092944233262,-44448.5,-2.1805531345864466,-26024.5,-1.39,-2.18
2023-01,2023-01-15,41,-5.212434177743281,-50886.0,-2.6456755220112904,-26886.0,-4.160266052180106,-41386.0,-0.41285412066034605,-4250.0,-2.406265231617247,-24174.0,-5.21,-2.41
2023-03,2023-03-15,43,1.903316636637135,25426.5,-3.5242739185612604,-46357.5,1.3744419969091792,18426.5,-2.9248634117757253,-38709.5,-1.6915651111426022,-22213.5,1.9,-1.69
2023-05,2023-05-15,45,1.7256979865320814,21986.25,-1.2785407532293072,-16308.75,0.4589017474815682,5878.75,-2.531473789831123,-32013.75,-1.1170375985262873,-14147.916666666666,1.73,-1.12
2023-07,2023-07-15,44,2.225735953025429,27486.25,2.2398193939736903,27656.25,2.2398193939736903,27656.25,2.2398193939736903,27656.25,2.2398193939736903,27656.25,2.23,2.24
2023-09,2023-09-15,43,4.829846534527404,67218.75,4.829846534527404,67218.75,4.829846534527404,67218.75,4.829846534527404,67218.75,4.829846534527404,67218.75,4.83,4.83
2023-11,2023-11-15,42,-5.5100538431915895,-62968.75,-5.012260320901464,-57826.25,-5.5100538431915895,-62968.75,-3.4761822004857663,-41167.25,-4.666165454859606,-53987.416666666664,-5.51,-4.67
2024-01,2024-01-15,43,-0.6009886915290747,-6420.0,-2.578216059927303,-27187.5,-2.080812846191255,-22045.0,-2.578216059927303,-27187.5,-2.4124149886819537,-25473.333333333332,-0.6,-2.41
2024-03,2024-03-15,42,2.1809702733509306,24858.5,4.076262878352889,45330.0,3.601110743157365,40233.5,2.088170484739394,23767.5,3.2551813687498825,36443.666666666664,2.18,3.26
2024-05,2024-05-15,43,-1.3895780400266755,-17750.0,-1.3895780400266755,-17750.0,-1.3895780400266755,-17750.0,-3.5360416100279832,-44204.0,-2.105065896693778,-26568.0,-1.39,-2.11
2024-07,2024-07-15,45,1.1406346834501444,14827.25,2.529932406800512,32611.25,1.111869806052148,14452.25,2.7565088263726905,35406.25,2.13277034640845,27489.916666666668,1.14,2.13
2024-09,2024-09-15,44,-3.2950958820518754,-35062.5,-3.2950958820518754,-35062.5,-3.2950958820518754,-35062.5,-3.7567246448361065,-39766.5,-3.448972136313286,-36630.5,-3.3,-3.45
2024-11,2024-11-15,42,0.3887680938918714,4580.0,2.4188566016240087,28171.0,0.0703706624575535,830.0,2.173238684275867,25375.0,1.554155316119143,18125.333333333332,0.39,1.55
