Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,50,64,0.78107,50
2,52,78,0.740244,41
3,50,96,0.729359,33
4,22,108,0.66578,34
5,64,66,0.589544,108
6,26,70,0.51855,42
7,164,168,0.462972,59
8,20,196,0.45517,24
9,154,174,0.453341,27
10,48,130,0.432115,25
11,38,168,0.431959,20
12,38,50,0.409687,64
13,94,194,0.368272,15
14,18,160,0.364035,30
15,24,40,0.306003,80
16,60,218,0.28721,16
17,26,226,0.28346,22
18,146,204,0.282825,17
19,170,192,0.280725,23
20,66,176,0.269773,18
21,70,124,0.267291,25
22,118,178,0.254845,17
23,18,30,0.219609,104
24,24,258,0.188496,18
25,112,282,0.187451,11
26,58,248,0.16235,14
27,32,284,0.153692,16
28,128,248,0.14796,11
29,108,218,0.145821,15
30,100,128,0.11131,32
31,188,192,0.089521,53
32,118,120,0.082494,95
33,86,268,0.069388,14
34,130,134,0.055127,59
35,64,290,0.054526,12
36,162,226,0.04257,15
37,178,246,0.028487,15
38,208,228,0.020299,20
39,128,142,-0.011219,35
40,256,260,-0.017313,34
41,148,286,-0.025684,11
42,26,30,-0.031196,155
43,200,264,-0.089128,14
44,262,280,-0.148941,20
45,96,154,-0.168433,21
46,206,286,-0.259951,12
47,282,292,-0.343955,23
48,238,272,-0.365369,16
