Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,62,94,549720.75,5.405308831036243,0.9863561534290778,27,
In-Sample,Medoid 1,50,64,332468.25,5.405308831036243,0.78107,50,
In-Sample,Medoid 2,52,78,354284.25,5.405308831036243,0.740244,41,
In-Sample,Medoid 3,50,96,361535.75,5.405308831036243,0.729359,33,
In-Sample,Medoid 4,22,108,313156.25,5.405308831036243,0.66578,34,
In-Sample,Medoid 5,64,66,280286.75,5.405308831036243,0.589544,108,
Out-of-Sample,Best,62,94,123716.5,4.714828897338403,0.42254075391834484,14,
Out-of-Sample,Medoid 1,50,64,39598.0,4.714828897338403,0.13518792943666466,18,
Out-of-Sample,Medoid 2,52,78,-48153.0,4.714828897338403,-0.16435187233978102,14,
Out-of-Sample,Medoid 3,50,96,40477.5,4.714828897338403,0.13820797983543612,14,
Out-of-Sample,Medoid 4,22,108,-45460.0,4.714828897338403,-0.15518444798161082,14,
Out-of-Sample,Medoid 5,64,66,23869.5,4.714828897338403,0.08150914830832093,28,
Full,Best,62,94,673437.25,5.16406509465294,0.7921805211573838,41,9.0
Full,Medoid 1,50,64,372066.25,5.16406509465294,0.4371801645007988,53,9.0
Full,Medoid 2,52,78,306131.25,5.16406509465294,0.3596619557388703,43,9.0
Full,Medoid 3,50,96,402013.25,5.16406509465294,0.47245561372811534,35,9.0
Full,Medoid 4,22,108,267696.25,5.16406509465294,0.3144974758846299,37,9.0
Full,Medoid 5,64,66,304156.25,5.16406509465294,0.3574134970371085,119,9.0
