Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,62,94,549720.75,5.405308831036243,0.9863561534290778,27,
In-Sample,Medoid 1,50,78,369153.75,5.405308831036243,0.809748,40,
In-Sample,Medoid 2,58,88,416851.25,5.405308831036243,0.740519,39,
In-Sample,Medoid 3,28,96,341441.25,5.405308831036243,0.683895,36,
In-Sample,Medoid 4,22,112,328485.25,5.405308831036243,0.679354,32,
In-Sample,Medoid 5,32,146,348403.25,5.405308831036243,0.584076,24,
Out-of-Sample,Best,62,94,123716.5,4.714828897338403,0.42254075391834484,14,
Out-of-Sample,Medoid 1,50,78,22597.0,4.714828897338403,0.07714553041049457,14,
Out-of-Sample,Medoid 2,58,88,47779.0,4.714828897338403,0.16315822081045567,14,
Out-of-Sample,Medoid 3,28,96,-50085.0,4.714828897338403,-0.17097409837469257,14,
Out-of-Sample,Medoid 4,22,112,-84340.5,4.714828897338403,-0.28798258224403434,14,
Out-of-Sample,Medoid 5,32,146,25924.0,4.714828897338403,0.08850395847447218,8,
Full,Best,62,94,673437.25,5.16406509465294,0.7921805211573838,41,9.0
Full,Medoid 1,50,78,391750.75,5.16406509465294,0.46043070683353676,43,9.0
Full,Medoid 2,58,88,464630.25,5.16406509465294,0.5462281834127019,41,9.0
Full,Medoid 3,28,96,291356.25,5.16406509465294,0.3422997823277569,39,9.0
Full,Medoid 4,22,112,244144.75,5.16406509465294,0.286835727239779,35,9.0
Full,Medoid 5,32,146,374327.25,5.16406509465294,0.43994409153726305,25,9.0
