Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,178,182,468107.5,10.528025144054478,0.915269904124456,35,
In-Sample,Medoid 1,160,202,344672.5,10.528025144054478,0.326872,14,
In-Sample,Medoid 2,238,256,255802.5,10.528025144054478,0.322446,16,
In-Sample,Medoid 3,170,182,311692.5,10.528025144054478,0.259523,32,
In-Sample,Medoid 4,270,292,183642.5,10.528025144054478,0.18638,12,
In-Sample,Medoid 5,192,210,199857.5,10.528025144054478,0.170486,24,
Out-of-Sample,Best,178,182,84662.5,6.827814569536423,0.25290231877061903,22,
Out-of-Sample,Medoid 1,160,202,200697.5,6.827814569536423,0.5998888922359754,4,
Out-of-Sample,Medoid 2,238,256,256767.5,6.827814569536423,0.7678872567742535,5,
Out-of-Sample,Medoid 3,170,182,127182.5,6.827814569536423,0.3799776274803454,14,
Out-of-Sample,Medoid 4,270,292,184677.5,6.827814569536423,0.5520147756853807,6,
Out-of-Sample,Medoid 5,192,210,159907.5,6.827814569536423,0.47785290963804766,9,
Full,Best,178,182,552770.0,9.094000641642605,0.6530287773440747,57,19.0
Full,Medoid 1,160,202,545370.0,9.094000641642605,0.6442217887338714,15,19.0
Full,Medoid 2,238,256,512570.0,9.094000641642605,0.6054107678214391,17,19.0
Full,Medoid 3,170,182,438875.0,9.094000641642605,0.5182542811830145,33,19.0
Full,Medoid 4,270,292,368320.0,9.094000641642605,0.43488759267039223,13,19.0
Full,Medoid 5,192,210,359765.0,9.094000641642605,0.42480301486975663,25,19.0
