Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,14,258,0.591633,18
2,190,198,0.582229,36
3,132,290,0.578596,11
4,184,208,0.561779,24
5,18,200,0.548188,18
6,192,262,0.546101,12
7,42,122,0.506949,22
8,106,138,0.472441,22
9,110,196,0.46949,12
10,214,268,0.42587,13
11,214,228,0.422884,34
12,228,230,0.417678,74
13,38,198,0.403187,12
14,158,208,0.393282,14
15,120,126,0.386105,46
16,176,246,0.376258,12
17,148,230,0.374008,10
18,22,282,0.358026,17
19,118,166,0.357846,14
20,276,290,0.347948,31
21,30,50,0.343125,60
22,38,160,0.334592,18
23,20,142,0.328696,30
24,38,86,0.317008,34
25,224,240,0.301367,28
26,62,138,0.291481,18
27,162,176,0.270732,28
28,38,64,0.268077,56
29,74,104,0.233839,30
30,38,254,0.223362,14
31,146,176,0.222542,20
32,56,286,0.208966,13
33,16,32,0.174818,89
34,60,230,0.151479,12
35,252,270,0.147502,29
36,54,58,0.139517,96
37,16,56,0.137662,63
38,78,178,0.12507,16
39,142,148,0.112993,50
40,236,290,0.101312,15
41,58,268,0.089245,13
42,82,104,0.086025,30
43,16,104,0.083476,40
44,50,52,0.045343,126
45,244,280,0.03953,19
46,64,200,0.035622,12
