short_SMA,long_SMA,trades,sharpe_ratio
10,22,141,-0.395182
10,26,123,-0.120968
10,32,99,-0.193725
10,36,97,-0.102681
10,40,91,-0.154774
10,48,77,0.085356
10,56,69,-0.005777
10,60,69,-0.099679
10,62,71,-0.029654
10,66,75,-0.026470
10,96,59,0.013618
10,102,53,0.197196
10,104,53,0.166540
10,126,45,0.067714
10,128,45,0.070707
10,130,45,0.063571
10,132,51,0.012082
10,136,46,-0.041514
10,146,40,-0.032992
10,150,42,0.037883
10,154,44,0.088470
10,158,42,0.045965
10,164,42,-0.028833
10,188,30,0.022471
10,190,28,0.124651
10,194,34,0.136522
10,208,34,0.104537
10,214,34,0.140961
10,216,28,0.175402
10,220,28,0.197784
10,224,28,0.146560
10,226,26,0.156801
10,234,26,0.117207
10,240,26,0.116313
10,244,26,0.099285
10,248,26,0.081385
10,250,26,0.081385
10,276,31,0.042980
10,280,31,0.001784
10,286,29,0.060099
10,288,29,0.064715
10,296,31,-0.018828
12,14,307,-0.451180
12,28,113,-0.223805
12,32,103,-0.140797
12,36,95,-0.263453
12,40,89,-0.219080
12,42,89,-0.104228
12,48,69,0.067778
12,50,69,0.145353
12,52,67,0.006962
12,56,67,-0.002421
12,62,67,0.045535
12,70,71,0.009541
12,76,65,0.069767
12,92,57,0.117563
12,100,51,0.121765
12,110,44,-0.027045
12,112,44,-0.069129
12,120,44,-0.089580
12,128,42,0.012929
12,132,46,0.023266
12,138,42,0.044711
12,140,42,0.031190
12,150,36,-0.006447
12,154,40,0.077651
12,156,40,0.082809
12,158,40,0.104404
12,162,40,0.066784
12,164,40,0.042572
12,172,34,0.132414
12,188,30,0.068452
12,190,30,0.054781
12,192,30,0.076488
12,220,28,0.091842
12,224,28,0.087594
12,226,28,0.081448
12,234,26,0.112641
12,236,26,0.112641
12,246,26,0.133400
12,248,26,0.133400
12,252,26,0.123350
12,280,23,0.043587
12,286,25,0.171270
12,290,25,0.186560
14,18,197,-0.462569
14,28,111,-0.220878
14,36,89,-0.176918
14,38,91,-0.073921
14,44,81,0.018507
14,46,71,0.006018
14,48,69,0.105773
14,50,67,0.070815
14,56,67,-0.028513
14,60,65,0.036064
14,62,65,0.072372
14,76,63,-0.032877
14,82,57,0.093284
14,96,46,-0.002690
14,98,48,0.042344
14,100,46,0.056195
14,102,50,0.028862
14,104,46,0.066817
14,110,42,-0.024292
14,120,40,-0.045808
14,122,38,-0.017592
14,132,42,0.030132
14,136,42,0.075482
14,138,40,0.045760
14,140,42,0.043309
14,142,36,0.011850
14,148,34,0.089015
14,150,36,0.090689
14,152,34,0.166293
14,154,34,0.152730
14,156,34,0.147025
14,162,34,0.175288
14,164,30,0.191698
14,188,28,0.120435
14,192,28,0.027591
14,194,28,0.027591
14,208,28,0.071057
14,210,24,0.114932
14,218,24,0.087989
14,220,24,0.093571
14,222,24,0.092310
14,224,24,0.092310
14,226,24,0.091772
14,228,24,0.109585
14,240,24,0.084483
14,246,24,0.099950
14,248,24,0.067117
14,250,24,0.075573
14,254,24,0.069698
14,262,24,0.091324
14,268,29,0.080389
14,270,25,0.097782
14,272,25,0.053879
14,278,23,0.001229
14,282,23,0.001529
14,286,23,0.085776
14,288,23,0.088026
14,290,21,0.088384
14,300,23,0.058923
16,36,93,-0.117489
16,44,75,0.168381
16,46,69,0.227279
16,48,67,0.203073
16,62,57,0.127945
16,72,59,0.045557
16,90,46,-0.077282
16,96,42,-0.111022
16,102,42,-0.076701
16,104,44,-0.090436
16,110,42,-0.071675
16,114,44,-0.060619
16,120,38,0.042257
16,124,38,0.086052
16,132,34,0.116709
16,134,36,0.052448
16,136,36,0.107682
16,140,32,0.080700
16,142,32,0.022020
16,144,32,0.032965
16,148,32,0.042532
16,150,34,0.134738
16,152,32,0.152009
16,154,30,0.231886
16,158,28,0.243335
16,160,28,0.228103
16,162,26,0.211199
16,188,28,-0.046978
16,190,28,-0.028384
16,208,24,0.024934
16,222,22,0.078224
16,224,22,0.053308
16,226,22,0.077956
16,230,22,0.085626
16,248,22,0.085024
16,270,23,0.011071
16,274,19,-0.010576
16,280,19,-0.030672
16,286,21,0.034352
16,290,21,-0.018956
16,294,21,-0.045186
16,298,21,-0.084162
18,22,161,-0.334984
18,24,143,0.009938
18,32,103,0.257353
18,36,97,0.120144
18,38,89,0.028499
18,40,83,0.054510
18,44,75,0.133513
18,46,71,0.134994
18,48,63,0.274998
18,50,61,0.217987
18,56,55,0.086926
18,60,53,0.164841
18,62,55,0.123060
18,64,57,0.093999
18,70,59,0.034003
18,74,59,-0.017889
18,78,56,-0.059088
18,92,42,-0.068702
18,104,42,-0.137516
18,110,44,-0.025201
18,112,44,0.017106
18,114,44,0.025143
18,118,40,0.108461
18,120,38,0.113044
18,130,32,0.087550
18,132,32,0.056449
18,134,32,0.069373
18,136,30,0.134686
18,138,32,0.122724
18,140,30,0.121493
18,142,32,0.108478
18,146,30,0.140416
18,150,30,0.221703
18,152,28,0.245155
18,154,30,0.246430
18,156,28,0.222966
18,158,24,0.252473
18,160,24,0.249597
18,162,24,0.261422
18,164,24,0.207383
18,166,24,0.189883
18,168,24,0.194591
18,178,26,0.065892
18,188,24,-0.055782
18,190,22,-0.163589
18,192,24,-0.168686
18,194,24,-0.127765
18,196,24,-0.142846
18,204,22,-0.118480
18,208,22,-0.134379
18,210,20,-0.098735
18,212,22,-0.082246
18,214,22,-0.086472
18,216,22,-0.105022
18,218,22,-0.091979
18,220,22,-0.107451
18,222,22,-0.075613
18,224,24,-0.067195
18,226,22,-0.067195
18,228,22,-0.053347
18,230,22,-0.007833
18,234,22,0.006289
18,236,24,0.006289
18,238,24,-0.003785
18,240,24,-0.009295
18,242,24,0.005817
18,248,22,-0.013042
18,250,22,-0.029351
