,Daily_PnL_Strategy,ES=F_Daily_PnL_Strategy,SI=F_Daily_PnL_Strategy,GC=F_Daily_PnL_Strategy,CC_Daily_PnL_Strategy,Cumulative_PnL_Strategy,Capital_Strategy,Cumulative_Returns_Strategy,Returns_Strategy
2014-01-02 13:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-02 15:57:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-02 16:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-03 13:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-03 15:57:00,0.0,-0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-03 16:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-06 13:25:00,0.0,0.0,0.0,0.0,-0.0,0.0,1000000.0,1.0,0.0
2014-01-06 15:57:00,0.0,-0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-06 16:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-07 13:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-07 15:57:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-07 16:55:00,0.0,0.0,-0.0,-0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-08 13:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-08 15:57:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-08 16:55:00,0.0,0.0,-0.0,-0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-09 13:25:00,0.0,0.0,0.0,0.0,-0.0,0.0,1000000.0,1.0,0.0
2014-01-09 15:57:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
2014-01-09 16:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0
