symbol,short_SMA,long_SMA,trades,sharpe_ratio
ES=F,10,30,17,-0.075800
ES=F,10,50,17,0.150466
ES=F,10,70,15,0.249014
ES=F,10,90,14,0.453740
ES=F,10,110,14,0.374335
ES=F,10,130,14,0.353085
ES=F,10,150,14,0.363000
ES=F,10,170,14,0.422264
ES=F,10,190,14,0.470151
ES=F,10,210,12,0.398357
ES=F,10,230,12,0.356747
ES=F,10,250,12,0.314195
ES=F,10,270,12,0.278933
ES=F,10,290,12,0.319800
ES=F,30,50,15,0.315143
ES=F,30,70,14,0.236953
ES=F,30,90,14,0.134663
ES=F,30,110,14,-0.009338
ES=F,30,130,12,0.082818
ES=F,30,150,12,0.184128
ES=F,30,170,12,0.094651
ES=F,30,190,12,0.165593
ES=F,30,210,12,0.132115
ES=F,30,230,12,0.140019
ES=F,30,250,12,0.124807
ES=F,30,270,12,0.160365
ES=F,30,290,12,0.071787
ES=F,50,70,14,0.042293
ES=F,50,90,12,0.028580
ES=F,50,110,12,-0.000141
ES=F,50,130,12,-0.127479
ES=F,50,150,12,0.001542
ES=F,50,170,12,0.153727
ES=F,50,190,12,0.143026
ES=F,50,210,12,0.122907
ES=F,50,230,12,0.211182
ES=F,50,250,12,0.180122
ES=F,50,270,12,0.084695
ES=F,50,290,12,0.101557
ES=F,70,90,14,-0.068134
ES=F,70,110,12,0.096143
ES=F,70,130,12,-0.014691
ES=F,70,150,12,-0.044751
ES=F,70,170,12,0.150882
ES=F,70,190,12,0.120472
ES=F,70,210,12,0.189790
ES=F,70,230,12,0.208638
ES=F,70,250,12,0.184221
ES=F,70,270,11,0.175594
ES=F,70,290,11,-0.005606
ES=F,90,110,12,0.017932
ES=F,90,130,12,0.133882
ES=F,90,150,12,0.094261
ES=F,90,170,12,0.036597
ES=F,90,190,12,0.152765
ES=F,90,210,12,0.112119
ES=F,90,230,12,0.131741
ES=F,90,250,11,0.109932
ES=F,90,270,11,0.117132
ES=F,90,290,11,0.193188
ES=F,110,130,12,0.107967
ES=F,110,150,12,0.063372
ES=F,110,170,12,0.118713
ES=F,110,190,11,0.084011
ES=F,110,210,11,0.241216
ES=F,110,230,11,0.219348
ES=F,110,250,11,0.256924
ES=F,110,270,11,0.325116
ES=F,110,290,11,0.425246
ES=F,130,150,12,0.187966
