short_SMA,long_SMA,trades,sharpe_ratio
10,15,191,0.053469
10,20,130,-0.022548
10,25,110,-0.038744
10,30,96,-0.075800
10,35,85,0.044453
10,40,81,-0.100053
10,45,73,0.100043
10,50,71,0.150466
10,55,65,0.059632
10,60,63,0.149024
10,65,70,0.235700
10,70,66,0.249014
10,75,50,0.392400
10,80,42,0.517768
10,85,42,0.542898
10,90,42,0.453740
10,95,40,0.373138
10,100,38,0.448381
10,105,38,0.367376
10,110,34,0.374335
10,115,32,0.425257
10,120,34,0.395750
10,125,34,0.350433
10,130,40,0.353085
10,135,32,0.358883
10,140,34,0.365999
10,145,32,0.385319
10,150,30,0.363000
10,155,30,0.340714
10,160,32,0.345444
10,165,32,0.323107
10,170,34,0.422264
10,175,28,0.433880
10,180,30,0.423941
10,185,28,0.440540
10,190,24,0.470151
10,195,24,0.462240
10,200,24,0.480467
10,205,20,0.482694
10,210,18,0.398357
10,215,18,0.398357
10,220,18,0.394258
10,225,16,0.356747
10,230,16,0.356747
10,235,16,0.360330
10,240,18,0.346778
10,245,18,0.342932
10,250,20,0.314195
10,255,20,0.298572
10,260,18,0.302335
10,265,18,0.312615
10,270,20,0.278933
10,275,20,0.242910
10,280,20,0.287347
10,285,20,0.315786
10,290,20,0.319800
10,295,18,0.319800
10,300,18,0.339753
15,20,150,-0.021670
15,25,114,0.099239
15,30,96,0.103110
15,35,78,0.270330
15,40,71,0.368238
15,45,64,0.347661
15,50,58,0.366272
15,55,56,0.379088
15,60,56,0.387132
15,65,52,0.429515
15,70,48,0.533360
15,75,44,0.468855
15,80,42,0.433025
15,85,40,0.343334
15,90,38,0.335861
15,95,38,0.366290
15,100,32,0.336977
15,105,32,0.310428
15,110,28,0.253943
15,115,28,0.129296
15,120,28,0.169054
15,125,28,0.149487
15,130,26,0.170791
15,135,24,0.214240
15,140,22,0.223968
15,145,24,0.243879
15,150,24,0.258936
15,155,26,0.232053
15,160,26,0.201206
15,165,24,0.259376
15,170,22,0.323251
15,175,22,0.343567
15,180,18,0.301215
15,185,18,0.290291
15,190,22,0.290291
15,195,16,0.290291
15,200,16,0.327625
15,205,16,0.333022
15,210,16,0.330140
15,215,16,0.328828
15,220,16,0.328828
15,225,16,0.329697
15,230,16,0.165665
15,235,16,0.181979
15,240,16,0.201180
15,245,16,0.201180
15,250,16,0.210593
15,255,16,0.210593
15,260,16,0.237760
15,265,16,0.245992
15,270,16,0.248763
15,275,16,0.224457
15,280,14,0.221228
15,285,14,0.221228
15,290,14,0.242840
15,295,16,0.205075
15,300,14,0.190670
20,25,122,0.253522
20,30,97,0.388476
20,35,77,0.409730
20,40,71,0.384350
20,45,60,0.501237
20,50,54,0.446784
20,55,52,0.509239
20,60,44,0.593123
20,65,42,0.561963
20,70,42,0.352988
20,75,40,0.212679
20,80,38,0.303071
20,85,34,0.158404
20,90,34,0.089762
20,95,34,0.138463
20,100,32,0.136125
20,105,28,0.100603
20,110,28,0.126897
20,115,28,0.048644
20,120,26,-0.028294
20,125,24,0.044549
20,130,22,0.101859
20,135,22,0.022405
20,140,20,-0.019741
20,145,20,-0.005165
20,150,20,0.000344
20,155,20,0.048802
20,160,22,0.088041
20,165,20,0.105180
20,170,16,0.103313
20,175,18,0.116758
20,180,18,0.238758
20,185,16,0.238758
20,190,16,0.238758
20,195,16,0.246716
20,200,16,0.247151
20,205,16,0.246137
20,210,16,0.256911
20,215,16,0.264787
20,220,16,0.122157
20,225,16,0.137587
20,230,16,0.152474
20,235,16,0.159211
20,240,16,0.142923
20,245,18,0.143356
20,250,16,0.138460
20,255,14,0.128656
20,260,14,0.128656
20,265,14,0.138296
20,270,14,0.157246
20,275,14,0.134350
20,280,14,0.145272
20,285,14,0.143529
20,290,12,0.173285
20,295,12,0.158038
20,300,12,0.171675
25,30,119,0.541387
25,35,89,0.190153
25,40,71,0.248558
25,45,61,0.420473
25,50,52,0.442379
25,55,50,0.411831
25,60,42,0.334841
25,65,40,0.357342
25,70,40,0.255259
25,75,40,0.121022
25,80,38,0.204462
25,85,34,0.201215
25,90,32,0.110857
25,95,28,0.028040
25,100,28,0.000610
25,105,30,-0.220785
25,110,30,-0.208315
25,115,28,-0.159760
25,120,26,-0.135133
25,125,22,0.016187
25,130,22,0.074671
25,135,20,0.223680
25,140,20,0.255283
25,145,18,0.166628
25,150,16,0.125742
25,155,16,0.131130
25,160,16,0.085059
25,165,18,0.119134
25,170,16,0.188093
25,175,16,0.198972
25,180,16,0.199692
25,185,14,0.258709
25,190,14,0.246587
25,195,14,0.266601
25,200,16,0.266601
25,205,16,0.274174
25,210,16,0.180117
25,215,16,0.172823
25,220,16,0.146765
25,225,16,0.177212
25,230,16,0.169850
25,235,16,0.188053
25,240,16,0.181232
25,245,16,0.134744
25,250,14,0.134744
25,255,14,0.116857
25,260,14,0.088812
25,265,14,0.081919
25,270,14,0.081919
25,275,12,0.080272
25,280,12,0.049424
25,285,12,0.043003
25,290,12,0.045481
25,295,10,0.020112
25,300,10,-0.025859
30,35,103,0.096263
30,40,73,0.386835
30,45,61,0.408463
30,50,50,0.315143
30,55,46,0.296953
30,60,44,0.347471
30,65,42,0.067835
30,70,38,0.236953
30,75,38,0.289142
30,80,34,0.271892
30,85,30,0.143347
30,90,30,0.134663
30,95,26,-0.062787
30,100,26,-0.115241
30,105,26,-0.175311
30,110,26,-0.009338
30,115,24,0.009065
30,120,24,0.000341
30,125,20,0.007939
30,130,18,0.082818
30,135,18,0.125610
30,140,16,0.169960
30,145,16,0.188844
30,150,16,0.184128
30,155,16,0.152809
30,160,16,0.156302
30,165,16,0.120592
30,170,16,0.094651
30,175,16,0.152872
30,180,14,0.168999
30,185,14,0.166458
30,190,14,0.165593
30,195,12,0.158824
30,200,12,0.082797
30,205,12,0.127232
30,210,12,0.132115
30,215,12,0.127026
30,220,12,0.121438
30,225,12,0.140019
30,230,12,0.140019
30,235,14,0.103458
30,240,14,0.098234
30,245,14,0.096585
30,250,14,0.124807
30,255,14,0.155470
30,260,14,0.139292
30,265,14,0.138427
30,270,14,0.160365
30,275,12,0.119451
30,280,12,0.133903
30,285,10,0.095494
30,290,10,0.071787
30,295,10,-0.021840
30,300,10,-0.015301
35,40,95,0.388717
35,45,69,0.512228
35,50,61,0.462935
35,55,44,0.465300
35,60,44,0.317161
35,65,42,0.111154
35,70,40,0.274052
35,75,36,0.281069
35,80,32,0.284291
35,85,32,0.063921
35,90,24,0.037868
35,95,22,-0.009145
35,100,22,0.081478
35,105,24,0.003242
35,110,26,0.097036
35,115,24,0.071140
35,120,20,0.070757
35,125,18,0.144053
35,130,16,0.171621
35,135,16,0.087692
35,140,16,0.025892
35,145,16,0.001191
35,150,16,-0.003439
35,155,16,-0.007651
35,160,16,0.060940
35,165,16,0.051327
35,170,16,0.086155
35,175,14,0.108484
35,180,12,0.131358
35,185,12,0.024304
35,190,12,0.027146
35,195,12,0.016925
35,200,12,0.016925
35,205,12,-0.031504
35,210,12,0.016725
35,215,12,-0.021106
35,220,12,0.020825
35,225,12,0.021672
35,230,10,0.026285
35,235,10,0.028695
35,240,10,-0.004879
35,245,10,-0.008977
35,250,12,-0.013357
35,255,12,-0.032207
35,260,14,0.105018
35,265,14,0.102639
35,270,14,0.100103
35,275,10,0.085927
35,280,10,0.079457
35,285,10,0.093579
35,290,10,0.100921
35,295,10,0.111072
35,300,10,0.133976
40,45,87,0.383249
40,50,65,0.385543
40,55,49,0.247094
40,60,46,0.173992
40,65,42,0.070759
40,70,42,-0.062143
40,75,32,-0.017532
40,80,28,0.162395
40,85,24,0.115224
40,90,22,0.049198
40,95,20,-0.058999
40,100,20,-0.041954
40,105,22,0.203953
40,110,16,0.187708
40,115,16,0.153215
40,120,18,0.141353
40,125,18,0.088576
40,130,18,0.037412
40,135,18,0.034241
40,140,16,0.055859
40,145,16,0.028574
40,150,16,-0.026835
40,155,16,-0.033966
40,160,16,-0.057444
40,165,16,-0.057844
40,170,16,-0.034302
40,175,12,-0.025866
40,180,12,-0.039539
40,185,12,-0.062646
40,190,12,-0.036130
40,195,12,-0.036130
40,200,12,-0.010941
40,205,12,-0.037776
40,210,12,0.115559
40,215,12,0.115266
40,220,12,0.072686
40,225,10,0.079148
40,230,10,0.061288
40,235,10,0.073709
40,240,10,0.071772
40,245,10,0.073848
40,250,10,0.071438
40,255,12,0.050875
40,260,10,0.069274
40,265,10,0.063032
40,270,12,0.153606
40,275,10,0.198307
40,280,10,0.200888
40,285,10,0.221951
40,290,10,0.222384
40,295,10,0.177843
40,300,10,0.189286
45,50,81,0.344380
45,55,59,0.123231
45,60,47,0.063909
45,65,44,-0.110137
45,70,36,0.077263
45,75,32,0.199870
45,80,26,-0.000488
45,85,22,-0.043510
45,90,20,-0.065275
45,95,20,0.011948
45,100,18,0.134497
45,105,18,-0.014437
45,110,16,0.077070
45,115,16,0.095718
45,120,16,-0.064454
45,125,18,-0.015235
45,130,16,0.041155
45,135,16,-0.017631
45,140,20,-0.106239
45,145,18,-0.180564
45,150,14,-0.156652
45,155,14,-0.171942
45,160,14,0.047941
45,165,14,0.044558
45,170,16,0.026239
45,175,12,0.067338
45,180,16,0.075785
45,185,12,0.068817
45,190,12,0.097056
45,195,12,0.108206
45,200,12,0.093267
45,205,12,0.104739
45,210,10,0.135801
45,215,10,0.227130
45,220,10,0.191903
45,225,10,0.184187
45,230,10,0.205557
45,235,10,0.183653
45,240,10,0.177231
45,245,10,0.211493
45,250,10,0.188488
45,255,12,0.157174
45,260,12,0.157174
45,265,10,0.202722
45,270,10,0.263134
45,275,10,0.243417
45,280,10,0.208162
45,285,10,0.227047
45,290,10,0.217924
45,295,10,0.158589
45,300,10,0.150423
50,55,82,-0.081259
50,60,54,-0.099280
50,65,44,-0.082374
50,70,38,0.042293
50,75,34,-0.005158
50,80,26,-0.024797
50,85,24,0.017059
50,90,20,0.028580
50,95,20,-0.049768
50,100,22,0.032581
50,105,18,0.011966
50,110,16,-0.000141
50,115,16,0.021034
50,120,16,-0.016040
50,125,14,-0.093338
50,130,14,-0.127479
50,135,14,0.002029
50,140,16,-0.064399
50,145,14,-0.029484
50,150,14,0.001542
50,155,14,0.033723
50,160,14,0.043140
50,165,14,0.142434
50,170,14,0.153727
50,175,12,0.204282
50,180,12,0.198022
50,185,12,0.196447
50,190,12,0.143026
50,195,10,0.127802
50,200,10,0.164771
50,205,10,0.122907
50,210,10,0.122907
50,215,10,0.183175
50,220,10,0.164653
50,225,10,0.157506
50,230,10,0.211182
50,235,10,0.223951
50,240,10,0.168455
50,245,10,0.182710
50,250,10,0.180122
50,255,12,0.195404
50,260,10,0.109342
50,265,10,0.093090
50,270,10,0.084695
50,275,10,0.050489
50,280,10,0.068772
50,285,10,0.115832
50,290,10,0.101557
50,295,10,0.115469
50,300,10,0.115414
55,60,78,-0.046273
55,65,56,0.181754
55,70,42,0.064517
55,75,38,0.096746
55,80,30,0.009529
55,85,24,-0.058778
55,90,22,-0.164725
55,95,20,-0.056916
55,100,20,-0.072242
55,105,18,-0.026302
55,110,18,0.002176
55,115,16,-0.042847
55,120,16,-0.011923
55,125,14,-0.021594
55,130,14,-0.014369
55,135,14,0.014650
55,140,14,0.010596
55,145,16,0.164586
55,150,14,0.232997
55,155,14,0.126605
55,160,14,0.097763
55,165,14,0.157491
55,170,14,0.098467
55,175,12,0.094717
55,180,12,0.072879
55,185,12,0.046621
55,190,12,0.044006
55,195,10,0.065781
55,200,10,0.048935
55,205,10,0.048652
55,210,10,-0.018673
55,215,10,0.006002
55,220,10,0.004307
55,225,10,0.059700
55,230,10,0.040273
55,235,10,0.031431
55,240,10,0.058282
55,245,10,0.063380
