Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,106,160,318182.99999999994,9.534942182001005,0.6276958436210398,14,
In-Sample,Medoid 1,104,166,224971.00000000003,9.534942182001005,0.443606,20,
In-Sample,Medoid 2,134,162,222483.00000000012,9.534942182001005,0.4387,26,
In-Sample,Medoid 3,90,194,194988.99999999985,9.534942182001005,0.384455,16,
In-Sample,Medoid 4,14,184,147877.00000000035,9.534942182001005,0.291509,30,
In-Sample,Medoid 5,12,144,146793.00000000064,9.534942182001005,0.289382,36,
Out-of-Sample,Best,106,160,140738.0,9.454865181711606,0.6449158948576594,8,
Out-of-Sample,Medoid 1,104,166,110606.0,9.454865181711606,0.506580880557299,8,
Out-of-Sample,Medoid 2,134,162,1846.0000000003056,9.454865181711606,0.008450650418579902,10,
Out-of-Sample,Medoid 3,90,194,27872.00000000016,9.454865181711606,0.12760987907605653,6,
Out-of-Sample,Medoid 4,14,184,-140664.00000000032,9.454865181711606,-0.6443016866897169,16,
Out-of-Sample,Medoid 5,12,144,-75559.9999999998,9.454865181711606,-0.34597527424565994,18,
Full,Best,106,160,458920.9999999999,9.510907811400422,0.6329888442262428,22,17.0
Full,Medoid 1,104,166,335577.0,9.510907811400422,0.46263888276590126,20,17.0
Full,Medoid 2,134,162,224329.00000000032,9.510907811400422,0.30919965711993674,26,17.0
Full,Medoid 3,90,194,222860.99999999988,9.510907811400422,0.307186222795805,16,17.0
Full,Medoid 4,14,184,7213.0,9.510907811400422,0.009938815249554539,30,17.0
Full,Medoid 5,12,144,71233.00000000084,9.510907811400422,0.09816359509068313,36,17.0
