Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,106,160,318182.99999999994,9.534942182001005,0.6276958436210398,14,
In-Sample,Medoid 1,94,172,253115.00000000012,9.534942182001005,0.499169,18,
In-Sample,Medoid 2,114,158,240098.99999999994,9.534942182001005,0.473488,22,
In-Sample,Medoid 3,112,142,212575.00000000023,9.534942182001005,0.419186,27,
In-Sample,Medoid 4,142,168,198714.99999999968,9.534942182001005,0.391811,24,
In-Sample,Medoid 5,100,198,188448.99999999983,9.534942182001005,0.371555,16,
Out-of-Sample,Best,106,160,140738.0,9.454865181711606,0.6449158948576594,8,
Out-of-Sample,Medoid 1,94,172,79696.0,9.454865181711606,0.3649645523369271,6,
Out-of-Sample,Medoid 2,114,158,171997.99999999994,9.454865181711606,0.7884550189548948,8,
Out-of-Sample,Medoid 3,112,142,116759.99999999991,9.454865181711606,0.5349031625508418,8,
Out-of-Sample,Medoid 4,142,168,38710.000000000204,9.454865181711606,0.17722355776976204,8,
Out-of-Sample,Medoid 5,100,198,-27667.999999999913,9.454865181711606,-0.12667299273046131,6,
Full,Best,106,160,458920.9999999999,9.510907811400422,0.6329888442262428,22,17.0
Full,Medoid 1,94,172,332811.0,9.510907811400422,0.4588485636634955,18,17.0
Full,Medoid 2,114,158,412096.99999999977,9.510907811400422,0.5683046124985245,22,17.0
Full,Medoid 3,112,142,329335.0000000001,9.510907811400422,0.4540837258585252,27,17.0
Full,Medoid 4,142,168,237424.99999999988,9.510907811400422,0.32726519820031497,24,17.0
Full,Medoid 5,100,198,160780.99999999988,9.510907811400422,0.22159587687503288,16,17.0
