Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,48,54,556682.0,16.57533539731682,1.1483965894296733,63,
In-Sample,Medoid 1,34,62,430576.0,16.57533539731682,0.887343,44,
In-Sample,Medoid 2,32,70,379206.0,16.57533539731682,0.781155,38,
In-Sample,Medoid 3,236,246,314934.0,16.57533539731682,0.775784,36,
In-Sample,Medoid 4,34,98,273638.0,16.57533539731682,0.56341,30,
In-Sample,Medoid 5,26,48,250720.0,16.57533539731682,0.51594,64,
Out-of-Sample,Best,48,54,-96935.99999999997,6.65625,-0.43975127707340655,26,
Out-of-Sample,Medoid 1,34,62,-133096.00000000006,6.65625,-0.6040223587747342,16,
Out-of-Sample,Medoid 2,32,70,-155815.99999999997,6.65625,-0.7072994145481123,14,
Out-of-Sample,Medoid 3,236,246,165066.0,6.65625,0.7494600201415017,11,
Out-of-Sample,Medoid 4,34,98,-67644.00000000004,6.65625,-0.30681205983101617,10,
Out-of-Sample,Medoid 5,26,48,-145560.00000000006,6.65625,-0.6605369644108153,22,
Full,Best,48,54,459745.99999999994,13.596028880866426,0.6511634646687945,89,31.0
Full,Medoid 1,34,62,297479.9999999999,13.596028880866426,0.4211457939652997,44,31.0
Full,Medoid 2,32,70,223389.99999999997,13.596028880866426,0.3161903646495168,38,31.0
Full,Medoid 3,236,246,480000.0,13.596028880866426,0.6799097684853633,38,31.0
Full,Medoid 4,34,98,205993.9999999999,13.596028880866426,0.29157692764833054,30,31.0
Full,Medoid 5,26,48,105159.9999999999,13.596028880866426,0.14877750316273156,64,31.0
