Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,48,54,556682.0,16.57533539731682,1.1483965894296733,63,
In-Sample,Medoid 1,44,64,439298.0,16.57533539731682,0.905367,50,
In-Sample,Medoid 2,234,248,268600.0,16.57533539731682,0.698669,32,
In-Sample,Medoid 3,28,68,324792.0,16.57533539731682,0.668857,38,
In-Sample,Medoid 4,30,46,282359.99999999994,16.57533539731682,0.581161,70,
In-Sample,Medoid 5,32,96,238436.00000000006,16.57533539731682,0.490762,30,
Out-of-Sample,Best,48,54,-96935.99999999997,6.65625,-0.43975127707340655,26,
Out-of-Sample,Medoid 1,44,64,-80040.00000000006,6.65625,-0.36307782590800963,15,
Out-of-Sample,Medoid 2,234,248,206774.0,6.65625,0.9394726046328093,9,
Out-of-Sample,Medoid 3,28,68,-58425.99999999987,6.65625,-0.26498746766098547,14,
Out-of-Sample,Medoid 4,30,46,-73815.99999999996,6.65625,-0.33483008112521057,22,
Out-of-Sample,Medoid 5,32,96,-35447.99999999997,6.65625,-0.16076869268715888,10,
Full,Best,48,54,459745.99999999994,13.596028880866426,0.6511634646687945,89,31.0
Full,Medoid 1,44,64,359257.9999999999,13.596028880866426,0.5086866345540202,50,31.0
Full,Medoid 2,234,248,475374.00000000006,13.596028880866426,0.6733166632609239,34,31.0
Full,Medoid 3,28,68,266366.00000000006,13.596028880866426,0.37705413507269747,38,31.0
Full,Medoid 4,30,46,208543.99999999994,13.596028880866426,0.2951116419834364,70,31.0
Full,Medoid 5,32,96,202988.00000000006,13.596028880866426,0.2872889713659642,30,31.0
