Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,15,115,358807.75,9.478129713423831,0.6555370399981088,15,
In-Sample,Medoid 1,20,110,292198.75000000023,9.478129713423831,0.533635,25,
In-Sample,Medoid 2,40,80,278245.75000000023,9.478129713423831,0.508157,35,
In-Sample,Medoid 3,35,75,214959.75000000087,9.478129713423831,0.392488,41,
In-Sample,Medoid 4,20,135,207480.25000000032,9.478129713423831,0.378819,19,
In-Sample,Medoid 5,20,285,206988.7500000003,9.478129713423831,0.377919,15,
Out-of-Sample,Best,15,115,93913.0,10.542790152403283,0.41931445942380474,10,
Out-of-Sample,Medoid 1,20,110,107838.00000000015,10.542790152403283,0.48150756101053793,10,
Out-of-Sample,Medoid 2,40,80,91057.50000000042,10.542790152403283,0.4065610428368448,10,
Out-of-Sample,Medoid 3,35,75,-9834.50000000007,10.542790152403283,-0.043889109374552704,12,
Out-of-Sample,Medoid 4,20,135,90038.99999999949,10.542790152403283,0.4019768472192478,6,
Out-of-Sample,Medoid 5,20,285,-47040.99999999991,10.542790152403283,-0.20995417217864082,9,
Full,Best,15,115,452720.7500000001,9.797677691766362,0.5868946884761234,25,17.0
Full,Medoid 1,20,110,400036.75000000035,9.797677691766362,0.5184698507996811,25,17.0
Full,Medoid 2,40,80,369303.2500000007,9.797677691766362,0.47863228064788843,35,17.0
Full,Medoid 3,35,75,205125.25000000081,9.797677691766362,0.26575135710509623,41,17.0
Full,Medoid 4,20,135,297519.2499999998,9.797677691766362,0.38551623395421086,19,17.0
Full,Medoid 5,20,285,159947.75000000035,9.797677691766362,0.20720842540605913,15,17.0
