Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,10,20,625654.0000000003,4.192249622546552,1.0600188097828906,90,
In-Sample,Medoid 1,35,50,383478.0000000001,4.192249622546552,0.648821,63,
In-Sample,Medoid 2,25,55,315198.00000000023,4.192249622546552,0.533145,59,
In-Sample,Medoid 3,175,215,293833.99999999994,4.192249622546552,0.522409,23,
In-Sample,Medoid 4,40,85,342814.00000000006,4.192249622546552,0.510693,43,
In-Sample,Medoid 5,205,230,305721.9999999999,4.192249622546552,0.482183,25,
Out-of-Sample,Best,10,20,24791.99999999973,2.963657678780774,0.0927739034696844,52,
Out-of-Sample,Medoid 1,35,50,-114740.00000000022,2.963657678780774,-0.4295564843688136,22,
Out-of-Sample,Medoid 2,25,55,-74232.00000000017,2.963657678780774,-0.2778458779453636,20,
Out-of-Sample,Medoid 3,175,215,78688.00000000003,2.963657678780774,0.29453049527625447,7,
Out-of-Sample,Medoid 4,40,85,-93044.00000000006,2.963657678780774,-0.34829724450283034,15,
Out-of-Sample,Medoid 5,205,230,182419.99999999994,2.963657678780774,0.6833350278705862,10,
Full,Best,10,20,650446.0,3.823239436619718,0.7581991645246817,142,6.0
Full,Medoid 1,35,50,268737.99999999977,3.823239436619718,0.3129747744619855,63,6.0
Full,Medoid 2,25,55,240966.00000000003,3.823239436619718,0.2806184916825356,59,6.0
Full,Medoid 3,175,215,372522.0,3.823239436619718,0.43392228689337814,24,6.0
Full,Medoid 4,40,85,249769.99999999994,3.823239436619718,0.29087715162796307,43,6.0
Full,Medoid 5,205,230,488141.99999999977,3.823239436619718,0.5687453412353144,25,6.0
