Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,10,20,625654.0000000003,4.192249622546552,1.0600188097828906,90,
In-Sample,Medoid 1,35,55,380830.0,4.192249622546552,0.644313,63,
In-Sample,Medoid 2,195,220,320910.0,4.192249622546552,0.571663,31,
In-Sample,Medoid 3,20,55,325306.00000000006,4.192249622546552,0.550252,58,
In-Sample,Medoid 4,165,220,235078.0,4.192249622546552,0.533297,17,
In-Sample,Medoid 5,40,80,301529.99999999994,4.192249622546552,0.451731,43,
Out-of-Sample,Best,10,20,24791.99999999973,2.963657678780774,0.0927739034696844,52,
Out-of-Sample,Medoid 1,35,55,-112096.00000000012,2.963657678780774,-0.41964793155830454,20,
Out-of-Sample,Medoid 2,195,220,74708.00000000017,2.963657678780774,0.2796408850237903,15,
Out-of-Sample,Medoid 3,20,55,-71899.99999999994,2.963657678780774,-0.26910656713154923,19,
Out-of-Sample,Medoid 4,165,220,12528.000000000073,2.963657678780774,0.046882805909258765,5,
Out-of-Sample,Medoid 5,40,80,-174599.99999999985,2.963657678780774,-0.6539601405976833,16,
Full,Best,10,20,650446.0,3.823239436619718,0.7581991645246817,142,6.0
Full,Medoid 1,35,55,268733.99999999977,3.823239436619718,0.31296272972015254,63,6.0
Full,Medoid 2,195,220,395618.00000000023,3.823239436619718,0.46083840947941285,30,6.0
Full,Medoid 3,20,55,253406.00000000012,3.823239436619718,0.29510362246374555,58,6.0
Full,Medoid 4,165,220,247606.0,3.823239436619718,0.28834901755854764,18,6.0
Full,Medoid 5,40,80,126929.99999999999,3.823239436619718,0.14779822778261484,41,6.0
