Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,120,130,-375557.5,87.61506707946336,-0.724737339193093,29,
In-Sample,Medoid 1,145,245,107072.5,87.61506707946336,0.22162,12,
In-Sample,Medoid 2,225,270,8010.5,87.61506707946336,0.151632,17,
In-Sample,Medoid 3,155,270,71714.5,87.61506707946336,0.149606,13,
In-Sample,Medoid 4,110,145,-339938.5,87.61506707946336,0.112095,26,
In-Sample,Medoid 5,180,225,86160.5,87.61506707946336,0.09309,20,
Out-of-Sample,Best,120,130,134001.0,57.06009615384615,0.6601073945789725,15,
Out-of-Sample,Medoid 1,145,245,222400.0,57.06009615384615,1.097299699906092,3,
Out-of-Sample,Medoid 2,225,270,117003.0,57.06009615384615,0.5760135058084254,3,
Out-of-Sample,Medoid 3,155,270,167475.0,57.06009615384615,0.8250997539094415,1,
Out-of-Sample,Medoid 4,110,145,130581.0,57.06009615384615,0.6429276935445652,5,
Out-of-Sample,Medoid 5,180,225,228008.0,57.06009615384615,1.1257176659474442,3,
Full,Best,120,130,-241556.5,78.4375451263538,-0.3344519930671176,44,195.0
Full,Medoid 1,145,245,329472.5,78.4375451263538,0.4563133119894077,18,195.0
Full,Medoid 2,225,270,125013.5,78.4375451263538,0.17315871931955407,11,195.0
Full,Medoid 3,155,270,239189.5,78.4375451263538,0.33138921009895494,5,195.0
Full,Medoid 4,110,145,-209357.5,78.4375451263538,-0.28951301848807787,24,195.0
Full,Medoid 5,180,225,314168.5,78.4375451263538,0.4352594917666416,16,195.0
