Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,45,359829.0000000006,11.94218200100553,0.6965700413266377,38,
In-Sample,Medoid 1,25,45,250502.0000000005,11.94218200100553,0.484682,64,
In-Sample,Medoid 2,30,55,218834.00000000012,11.94218200100553,0.423408,58,
In-Sample,Medoid 3,160,190,186455.99999999977,11.94218200100553,0.30141,26,
In-Sample,Medoid 4,115,180,150499.00000000003,11.94218200100553,0.228496,16,
In-Sample,Medoid 5,25,220,123204.00000000017,11.94218200100553,0.222874,24,
Out-of-Sample,Best,20,45,-261381.99999999988,14.015240328253224,-1.2198805577298013,26,
Out-of-Sample,Medoid 1,25,45,-244515.0000000002,14.015240328253224,-1.1408605129931915,26,
Out-of-Sample,Medoid 2,30,55,-174282.00000000081,14.015240328253224,-0.8122213745371075,24,
Out-of-Sample,Medoid 3,160,190,94189.99999999996,14.015240328253224,0.4387023708435452,15,
Out-of-Sample,Medoid 4,115,180,139163.00000000012,14.015240328253224,0.6483739553982177,7,
Out-of-Sample,Medoid 5,25,220,-27781.99999999994,14.015240328253224,-0.12932160715243304,10,
Full,Best,20,45,98447.00000000064,12.56439127375088,0.13450997467449455,64,24.0
Full,Medoid 1,25,45,5987.000000000262,12.56439127375088,0.008180006461562514,64,24.0
Full,Medoid 2,30,55,44551.99999999924,12.56439127375088,0.06087810857309618,58,24.0
Full,Medoid 3,160,190,280645.9999999997,12.56439127375088,0.3836425393770518,28,24.0
Full,Medoid 4,115,180,289662.0000000001,12.56439127375088,0.3959647643205094,18,24.0
Full,Medoid 5,25,220,95422.00000000028,12.56439127375088,0.13040007462696077,25,24.0
