Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,35,50,438336.00000000023,4.183694011071967,0.7504881872277468,48,
In-Sample,Medoid 1,35,50,438336.00000000023,4.183694011071967,0.750488,68,
In-Sample,Medoid 2,100,215,332150.0,4.183694011071967,0.440907,17,
In-Sample,Medoid 3,40,290,314258.0,4.183694011071967,0.426069,17,
In-Sample,Medoid 4,150,180,215885.9999999998,4.183694011071967,0.409599,23,
In-Sample,Medoid 5,40,185,252473.9999999999,4.183694011071967,0.400074,18,
Out-of-Sample,Best,35,50,-79724.0,2.8438967136150235,-0.3002880151447795,20,
Out-of-Sample,Medoid 1,35,50,-79724.0,2.8438967136150235,-0.3002880151447795,20,
Out-of-Sample,Medoid 2,100,215,55896.00000000006,2.8438967136150235,0.21053677317573494,5,
Out-of-Sample,Medoid 3,40,290,-24696.0,2.8438967136150235,-0.09301083433597263,5,
Out-of-Sample,Medoid 4,150,180,14799.999999999898,2.8438967136150235,0.05574069873941865,7,
Out-of-Sample,Medoid 5,40,185,-21784.000000000073,2.8438967136150235,-0.08204645090418557,5,
Full,Best,35,50,358612.00000000023,3.7816132441000354,0.4218449432176512,68,7.0
Full,Medoid 1,35,50,358612.00000000023,3.7816132441000354,0.4218449432176512,68,7.0
Full,Medoid 2,100,215,388046.0,3.7816132441000354,0.4564951696904493,15,7.0
Full,Medoid 3,40,290,289562.00000000006,3.7816132441000354,0.34057694845699604,15,7.0
Full,Medoid 4,150,180,230685.99999999974,3.7816132441000354,0.2713145049338107,24,7.0
Full,Medoid 5,40,185,230689.99999999988,3.7816132441000354,0.27131769845768583,17,7.0
