Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,35,45,440887.0000000001,9.386480908152734,0.8468309746750796,64,
In-Sample,Medoid 1,25,290,134029.00000000003,9.386480908152734,0.454749,13,
In-Sample,Medoid 2,25,175,228476.99999999994,9.386480908152734,0.388981,20,
In-Sample,Medoid 3,25,140,219285.0,9.386480908152734,0.36217,24,
In-Sample,Medoid 4,25,200,208187.00000000006,9.386480908152734,0.351572,20,
In-Sample,Medoid 5,45,285,93811.00000000009,9.386480908152734,0.327571,17,
Out-of-Sample,Best,35,45,-12774.000000000124,6.078125,-0.05414114785341448,25,
Out-of-Sample,Medoid 1,25,290,23776.0,6.078125,0.10077244772547965,5,
Out-of-Sample,Medoid 2,25,175,-73807.99999999997,6.078125,-0.3129015954936518,9,
Out-of-Sample,Medoid 3,25,140,-68394.00000000013,6.078125,-0.2899157001304697,9,
Out-of-Sample,Medoid 4,25,200,-43122.0,6.078125,-0.1827682517530186,7,
Out-of-Sample,Medoid 5,45,285,-71315.99999999991,6.078125,-0.30231874671913456,5,
Full,Best,35,45,428113.0,8.392779783393502,0.5656025592738562,89,15.0
Full,Medoid 1,25,290,157804.99999999994,8.392779783393502,0.20836750674469115,13,15.0
Full,Medoid 2,25,175,154668.99999999994,8.392779783393502,0.20423071774310414,19,15.0
Full,Medoid 3,25,140,150890.99999999983,8.392779783393502,0.199232892347222,23,15.0
Full,Medoid 4,25,200,165064.99999999997,8.392779783393502,0.21794765579383557,19,15.0
Full,Medoid 5,45,285,22495.00000000011,8.392779783393502,0.02970221028111341,15,15.0
