Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,35,45,468804.0000000001,12.04616945712836,0.8856511559867242,58,
In-Sample,Medoid 1,20,270,385408.0000000001,12.04616945712836,0.646359,14,
In-Sample,Medoid 2,90,120,270014.00000000006,12.04616945712836,0.47846,27,
In-Sample,Medoid 3,20,230,262489.9999999997,12.04616945712836,0.472029,17,
In-Sample,Medoid 4,25,200,259457.00000000044,12.04616945712836,0.445613,17,
In-Sample,Medoid 5,40,155,233168.0,12.04616945712836,0.442933,23,
Out-of-Sample,Best,35,45,-118831.99999999962,10.009467455621301,-0.5180334745106933,20,
Out-of-Sample,Medoid 1,20,270,49710.99999999997,10.009467455621301,0.21662595352619105,6,
Out-of-Sample,Medoid 2,90,120,-51855.00000000026,10.009467455621301,-0.22601400144794803,8,
Out-of-Sample,Medoid 3,20,230,122224.00000000023,10.009467455621301,0.532915729907123,6,
Out-of-Sample,Medoid 4,25,200,78740.9999999999,10.009467455621301,0.3432026896555131,6,
Out-of-Sample,Medoid 5,40,155,-52443.99999999936,10.009467455621301,-0.22855839720675145,8,
Full,Best,35,45,349972.0000000006,11.435014204545455,0.4609622900561374,78,27.0
Full,Medoid 1,20,270,435119.0000000001,11.435014204545455,0.5732291742065347,12,27.0
Full,Medoid 2,90,120,218158.99999999983,11.435014204545455,0.2872706119476583,28,27.0
Full,Medoid 3,20,230,384714.0,11.435014204545455,0.5067515384920388,18,27.0
Full,Medoid 4,25,200,338198.00000000035,11.435014204545455,0.4454488219679593,18,27.0
Full,Medoid 5,40,155,180724.00000000058,11.435014204545455,0.23795482401282134,24,27.0
