Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,35,45,468804.0000000001,12.04616945712836,0.8856511559867242,58,
In-Sample,Medoid 1,20,265,388419.0,12.04616945712836,0.663014,14,
In-Sample,Medoid 2,90,115,358730.99999999965,12.04616945712836,0.610661,27,
In-Sample,Medoid 3,70,155,310049.99999999965,12.04616945712836,0.588182,15,
In-Sample,Medoid 4,100,125,238448.00000000035,12.04616945712836,0.505906,27,
In-Sample,Medoid 5,30,290,331919.00000000006,12.04616945712836,0.501345,16,
Out-of-Sample,Best,35,45,-118831.99999999962,10.009467455621301,-0.5180334745106933,20,
Out-of-Sample,Medoid 1,20,265,82595.00000000028,10.009467455621301,0.3600381601346766,6,
Out-of-Sample,Medoid 2,90,115,-54683.99999999974,10.009467455621301,-0.2383298427985703,8,
Out-of-Sample,Medoid 3,70,155,31841.000000000073,10.009467455621301,0.13876076601948842,6,
Out-of-Sample,Medoid 4,100,125,-74974.00000000009,10.009467455621301,-0.3267973128379838,8,
Out-of-Sample,Medoid 5,30,290,13216.999999999884,10.009467455621301,0.057601966860538145,8,
Full,Best,35,45,349972.0000000006,11.435014204545455,0.4609622900561374,78,27.0
Full,Medoid 1,20,265,471014.00000000035,11.435014204545455,0.6206132835034215,12,27.0
Full,Medoid 2,90,115,304046.9999999999,11.435014204545455,0.4004030950858262,28,27.0
Full,Medoid 3,70,155,341890.99999999965,11.435014204545455,0.4503017189363928,16,27.0
Full,Medoid 4,100,125,163474.00000000023,11.435014204545455,0.21525796418186,29,27.0
Full,Medoid 5,30,290,345135.99999999994,11.435014204545455,0.4546063788259045,14,27.0
