Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,100,108,1.060302,43
2,90,120,0.741478,27
3,36,48,0.701233,68
4,48,50,0.60074,138
5,74,140,0.586413,15
6,34,66,0.579803,49
7,52,56,0.536154,99
8,30,146,0.518553,21
9,24,250,0.500907,17
10,20,184,0.488005,23
11,32,286,0.442988,16
12,126,130,0.441055,71
13,60,174,0.425129,17
14,52,250,0.40634,15
15,86,104,0.399872,37
16,20,60,0.383051,55
17,96,158,0.378834,15
18,48,118,0.371836,21
19,12,152,0.36776,31
20,114,140,0.326125,23
21,26,212,0.315098,21
22,72,206,0.304682,15
23,72,284,0.291129,12
24,26,40,0.260065,75
25,40,90,0.245638,33
26,30,36,0.232439,103
27,118,176,0.208285,15
28,158,180,0.155996,23
29,100,266,0.105278,11
30,260,264,0.092886,53
31,90,242,0.064261,11
32,112,218,0.022122,15
33,16,80,-0.018322,53
34,140,198,-0.080936,15
35,178,198,-0.128163,26
36,268,286,-0.150705,22
37,216,232,-0.153282,28
38,236,284,-0.157098,16
39,112,290,-0.157185,12
40,148,166,-0.170741,27
41,164,222,-0.215878,13
42,166,250,-0.231699,13
43,158,162,-0.245211,55
44,212,250,-0.329205,20
45,242,252,-0.343067,34
46,192,282,-0.343261,16
47,142,282,-0.413888,12
