Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,100,110,555045.2500000002,6.723479135243841,1.0390812770209692,27,
In-Sample,Medoid 1,90,120,396500.25000000023,6.723479135243841,0.741478,27,
In-Sample,Medoid 2,75,140,321634.2499999994,6.723479135243841,0.601246,15,
In-Sample,Medoid 3,20,165,311987.7499999994,6.723479135243841,0.58321,25,
In-Sample,Medoid 4,30,55,296336.74999999953,6.723479135243841,0.553874,55,
In-Sample,Medoid 5,75,175,282193.25,6.723479135243841,0.527428,15,
Out-of-Sample,Best,100,110,5001.750000000029,6.9671746776084404,0.02169757989233788,12,
Out-of-Sample,Medoid 1,90,120,-25694.25,6.9671746776084404,-0.11146199390132022,8,
Out-of-Sample,Medoid 2,75,140,-21223.750000000116,6.9671746776084404,-0.09205859489528317,6,
Out-of-Sample,Medoid 3,20,165,100157.25000000045,6.9671746776084404,0.43455892835470605,8,
Out-of-Sample,Medoid 4,30,55,-63845.24999999878,6.9671746776084404,-0.2769384104358383,16,
Out-of-Sample,Medoid 5,75,175,-35489.749999999476,6.9671746776084404,-0.15394556760427117,6,
Full,Best,100,110,560047.0000000002,6.7966220971147076,0.7321958543672488,39,12.0
Full,Medoid 1,90,120,370806.00000000023,6.7966220971147076,0.48448451935701636,27,12.0
Full,Medoid 2,75,140,300410.4999999993,6.7966220971147076,0.39243095292229807,15,12.0
Full,Medoid 3,20,165,412144.9999999999,6.7966220971147076,0.5385384750891106,25,12.0
Full,Medoid 4,30,55,232491.50000000076,6.7966220971147076,0.3036515587048729,55,12.0
Full,Medoid 5,75,175,246703.5000000006,6.7966220971147076,0.32224171729827905,15,12.0
