Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,100,110,555045.2500000002,6.723479135243841,1.0390812770209692,27,
In-Sample,Medoid 1,90,120,396500.25000000023,6.723479135243841,0.741478,27,
In-Sample,Medoid 2,30,60,341581.75,6.723479135243841,0.638569,55,
In-Sample,Medoid 3,70,140,287009.2499999996,6.723479135243841,0.536438,15,
In-Sample,Medoid 4,70,170,284012.7499999994,6.723479135243841,0.530837,15,
In-Sample,Medoid 5,60,110,279640.74999999977,6.723479135243841,0.522647,23,
Out-of-Sample,Best,100,110,5001.750000000029,6.9671746776084404,0.02169757989233788,12,
Out-of-Sample,Medoid 1,90,120,-25694.25,6.9671746776084404,-0.11146199390132022,8,
Out-of-Sample,Medoid 2,30,60,-75770.25000000006,6.9671746776084404,-0.32870422634769875,16,
Out-of-Sample,Medoid 3,70,140,27917.250000000087,6.9671746776084404,0.12109430234591005,6,
Out-of-Sample,Medoid 4,70,170,-30452.25000000006,6.9671746776084404,-0.13209900014245107,6,
Out-of-Sample,Medoid 5,60,110,94903.75000000016,6.9671746776084404,0.41178491033397047,8,
Full,Best,100,110,560047.0000000002,6.7966220971147076,0.7321958543672488,39,12.0
Full,Medoid 1,90,120,370806.00000000023,6.7966220971147076,0.48448451935701636,27,12.0
Full,Medoid 2,30,60,265811.49999999994,6.7966220971147076,0.34719588628503517,55,12.0
Full,Medoid 3,70,140,314926.49999999965,6.7966220971147076,0.4114046558981961,15,12.0
Full,Medoid 4,70,170,253560.4999999993,6.7966220971147076,0.331209043292036,15,12.0
Full,Medoid 5,60,110,374544.5,6.7966220971147076,0.48935356896150317,23,12.0
