period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-03,2021-03-15,45,2.6779303584336636,46380.00000000002,2.6779303584336636,46380.00000000002,2.6779303584336636,46380.00000000002,2.68,2.68
2021-05,2021-05-15,43,-0.34636145812010954,-5479.999999999927,-0.34636145812010954,-5479.999999999927,-0.34636145812010954,-5479.999999999927,-0.35,-0.35
2021-07,2021-07-15,44,0.805630367810624,11999.999999999996,0.805630367810624,11999.999999999996,0.805630367810624,11999.999999999996,0.81,0.81
2021-09,2021-09-15,43,0.6132369038114781,8359.999999999945,0.6132369038114781,8359.999999999945,0.6132369038114781,8359.999999999945,0.61,0.61
2021-11,2021-11-15,44,0.4976877446874449,9860.000000000036,0.4976877446874449,9860.000000000036,0.4976877446874449,9860.000000000036,0.5,0.5
2022-01,2022-01-15,41,-3.377267041125428,-49735.000000000015,-3.379319661391442,-49780.000000000015,-3.379319661391442,-49780.000000000015,-3.38,-3.38
2022-03,2022-03-15,43,-0.7713829650615229,-12619.999999999996,-1.3715401852907463,-22354.999999999927,-1.3715401852907463,-22354.999999999927,-0.77,-1.37
2022-05,2022-05-15,44,1.7240440625431404,27744.999999999993,0.08305425276495391,1344.999999999991,0.08305425276495391,1344.999999999991,1.72,0.08
2022-07,2022-07-15,44,-1.4431957654948189,-23520.000000000033,-1.4431957654948189,-23520.000000000033,-1.4431957654948189,-23520.000000000033,-1.44,-1.44
2022-09,2022-09-15,43,1.229674208987354,21580.000000000033,1.229674208987354,21580.000000000033,1.229674208987354,21580.000000000033,1.23,1.23
2022-11,2022-11-15,43,0.8598400927061731,13839.999999999964,0.8598400927061731,13839.999999999964,0.8598400927061731,13839.999999999964,0.86,0.86
2023-01,2023-01-15,41,-2.28566238346975,-30539.999999999967,-2.28566238346975,-30539.999999999967,-2.28566238346975,-30539.999999999967,-2.29,-2.29
2023-03,2023-03-15,43,1.5015653544127312,26190.000000000073,1.563351597281622,27269.999999999818,1.563351597281622,27269.999999999818,1.5,1.56
2023-05,2023-05-15,45,-3.495584975589956,-51410.0,-0.09351133210017333,-1410.0,-0.09351133210017333,-1410.0,-3.5,-0.09
2023-07,2023-07-15,44,0.5748709454774668,6570.000000000018,-1.3557108223463434,-15469.999999999945,-1.3557108223463434,-15469.999999999945,0.57,-1.36
2023-09,2023-09-15,43,-4.092607170239939,-57980.00000000013,-3.1396296554220404,-45019.9999999999,-3.1396296554220404,-45019.9999999999,-4.09,-3.14
2023-11,2023-11-15,42,-3.303622298788035,-52849.999999999956,-0.8854137362488392,-14449.999999999967,-0.8854137362488392,-14449.999999999967,-3.3,-0.89
2024-01,2024-01-15,43,2.946957410602014,41490.0,3.3602498799452327,47090.0,3.3602498799452327,47090.0,2.95,3.36
2024-03,2024-03-15,42,-0.6860393007406912,-9740.000000000055,-0.6860393007406912,-9740.000000000055,-0.6860393007406912,-9740.000000000055,-0.69,-0.69
2024-05,2024-05-15,43,4.493006295170421,54640.000000000124,2.965768685756547,36879.999999999905,2.965768685756547,36879.999999999905,4.49,2.97
2024-07,2024-07-15,45,0.8668000331554281,17429.99999999997,0.8668000331554281,17429.99999999997,0.8668000331554281,17429.99999999997,0.87,0.87
2024-09,2024-09-15,44,-0.11150554899437792,-1630.0000000000182,-0.11150554899437792,-1630.0000000000182,-0.11150554899437792,-1630.0000000000182,-0.11,-0.11
2024-11,2024-11-15,42,0.03276341085489284,640.0000000000546,0.03276341085489284,640.0000000000546,0.03276341085489284,640.0000000000546,0.03,0.03
