Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,195,220,518983.0,5.111111111111111,0.8130814970319131,12,
In-Sample,Medoid 1,190,225,458267.0,5.111111111111111,0.717752,12,
In-Sample,Medoid 2,200,235,406791.0,5.111111111111111,0.636998,14,
In-Sample,Medoid 3,170,210,309693.0,5.111111111111111,0.484788,12,
In-Sample,Medoid 4,15,205,303260.0,5.111111111111111,0.474684,16,
In-Sample,Medoid 5,225,285,299161.0,5.111111111111111,0.468285,14,
Out-of-Sample,Best,195,220,56257.5,2.4525205158264947,0.1888786875373729,4,
Out-of-Sample,Medoid 1,190,225,71282.5,2.4525205158264947,0.23933538596962542,4,
Out-of-Sample,Medoid 2,200,235,-542.5,2.4525205158264947,-0.0018212606496927218,4,
Out-of-Sample,Medoid 3,170,210,15170.5,2.4525205158264947,0.05092934980060663,4,
Out-of-Sample,Medoid 4,15,205,1054.5,2.4525205158264947,0.0035400282216821806,8,
Out-of-Sample,Medoid 5,225,285,53715.5,2.4525205158264947,0.1803452292586557,6,
Full,Best,195,220,575240.5,4.313159746657283,0.6140316280038611,16,12.0
Full,Medoid 1,190,225,529549.5,4.313159746657283,0.5651964531919315,12,12.0
Full,Medoid 2,200,235,406248.5,4.313159746657283,0.4334848774127101,14,12.0
Full,Medoid 3,170,210,324863.5,4.313159746657283,0.3465956729873738,12,12.0
Full,Medoid 4,15,205,304314.5,4.313159746657283,0.3246497901743697,16,12.0
Full,Medoid 5,225,285,352876.5,4.313159746657283,0.37650104595941675,14,12.0
