Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,212,214,438112.5000000002,5.553663570691435,0.7597165883633695,56,
In-Sample,Medoid 1,204,220,293237.5000000001,5.553663570691435,0.508105,31,
In-Sample,Medoid 2,46,98,224387.50000000023,5.553663570691435,0.388735,32,
In-Sample,Medoid 3,30,120,219862.5,5.553663570691435,0.380877,30,
In-Sample,Medoid 4,140,266,217962.50000000006,5.553663570691435,0.377607,11,
In-Sample,Medoid 5,58,80,214137.50000000006,5.553663570691435,0.371011,42,
Out-of-Sample,Best,212,214,-52725.0000000001,5.09375,-0.2095318635547106,35,
Out-of-Sample,Medoid 1,204,220,46300.0000000001,5.09375,0.18400935256851522,11,
Out-of-Sample,Medoid 2,46,98,-111599.99999999993,5.09375,-0.4437918192447135,12,
Out-of-Sample,Medoid 3,30,120,-196574.99999999988,5.09375,-0.7820204946491317,14,
Out-of-Sample,Medoid 4,140,266,51449.99999999988,5.09375,0.20450171198482878,2,
Out-of-Sample,Medoid 5,58,80,-91999.99999999985,5.09375,-0.3657639658675403,12,
Full,Best,212,214,385387.5000000001,5.415523465703971,0.46515927927790407,91,12.0
Full,Medoid 1,204,220,339537.50000000023,5.415523465703971,0.4097517381744795,31,12.0
Full,Medoid 2,46,98,112787.50000000029,5.415523465703971,0.13608479928545858,32,12.0
Full,Medoid 3,30,120,23287.50000000006,5.415523465703971,0.028092417043293395,30,12.0
Full,Medoid 4,140,266,269412.5,5.415523465703971,0.32510802660971244,11,12.0
Full,Medoid 5,58,80,122137.50000000029,5.415523465703971,0.14737407624090873,42,12.0
