Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,212,214,438112.5000000002,5.553663570691435,0.7597165883633695,56,
In-Sample,Medoid 1,50,80,345012.50000000047,5.553663570691435,0.598005,42,
In-Sample,Medoid 2,204,220,293237.5000000001,5.553663570691435,0.508105,31,
In-Sample,Medoid 3,46,98,224387.50000000023,5.553663570691435,0.388735,32,
In-Sample,Medoid 4,76,110,196612.50000000047,5.553663570691435,0.340611,28,
In-Sample,Medoid 5,140,264,192912.49999999994,5.553663570691435,0.334175,11,
Out-of-Sample,Best,212,214,-52725.0000000001,5.09375,-0.2095318635547106,35,
Out-of-Sample,Medoid 1,50,80,-128875.00000000013,5.09375,-0.5124866978766596,12,
Out-of-Sample,Medoid 2,204,220,46300.0000000001,5.09375,0.18400935256851522,11,
Out-of-Sample,Medoid 3,46,98,-111599.99999999993,5.09375,-0.4437918192447135,12,
Out-of-Sample,Medoid 4,76,110,-126700.00000000009,5.09375,-0.5038710698565524,10,
Out-of-Sample,Medoid 5,140,264,73450.00000000006,5.09375,0.2919756813712925,2,
Full,Best,212,214,385387.5000000001,5.415523465703971,0.46515927927790407,91,12.0
Full,Medoid 1,50,80,216137.5000000004,5.415523465703971,0.2608132966005039,42,12.0
Full,Medoid 2,204,220,339537.50000000023,5.415523465703971,0.4097517381744795,31,12.0
Full,Medoid 3,46,98,112787.50000000029,5.415523465703971,0.13608479928545858,32,12.0
Full,Medoid 4,76,110,69912.50000000035,5.415523465703971,0.08435349771650555,28,12.0
Full,Medoid 5,140,264,266362.5,5.415523465703971,0.3214182506263233,11,12.0
