Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,160,265,413680.0,1.9232736572890026,0.557279487192786,6,
In-Sample,Medoid 1,175,240,364030.0,1.9232736572890026,0.49032,10,
In-Sample,Medoid 2,190,230,285275.0,1.9232736572890026,0.384178,18,
In-Sample,Medoid 3,145,285,162822.0,1.9232736572890026,0.219228,10,
In-Sample,Medoid 4,155,220,142272.0,1.9232736572890026,0.191555,12,
In-Sample,Medoid 5,135,260,119022.0,1.9232736572890026,0.16025,12,
Out-of-Sample,Best,160,265,46786.0,1.6483909415971394,0.14431999159169104,4,
Out-of-Sample,Medoid 1,175,240,-108064.0,1.6483909415971394,-0.33339272851978313,4,
Out-of-Sample,Medoid 2,190,230,-76337.0,1.6483909415971394,-0.23549334535084104,4,
Out-of-Sample,Medoid 3,145,285,23744.0,1.6483909415971394,0.07324030097324989,2,
Out-of-Sample,Medoid 4,155,220,-178064.0,1.6483909415971394,-0.5495539472975353,4,
Out-of-Sample,Medoid 5,135,260,-111214.0,1.6483909415971394,-0.34312159269472636,4,
Full,Best,160,265,460466.0,1.8407301360057267,0.4317876085325059,10,3.0
Full,Medoid 1,175,240,255966.0,1.8407301360057267,0.23995841188276373,10,3.0
Full,Medoid 2,190,230,208938.0,1.8407301360057267,0.19586825889695048,18,3.0
Full,Medoid 3,145,285,186566.0,1.8407301360057267,0.1748925535042708,10,3.0
Full,Medoid 4,155,220,-35792.0,1.8407301360057267,-0.033550147433087193,12,3.0
Full,Medoid 5,135,260,7808.0,1.8407301360057267,0.007319075817454027,12,3.0
