Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,118,230,0.202002,15
2,126,180,0.170813,15
3,56,62,0.167696,87
4,186,212,0.142469,19
5,100,266,0.104196,13
6,52,86,0.092237,33
7,138,246,0.088486,11
8,178,234,0.075664,14
9,46,158,0.054268,15
10,186,188,0.047177,71
11,214,254,0.007091,14
12,78,288,0.003571,15
13,156,214,0.001724,15
14,238,240,-0.005932,44
15,90,126,-0.009286,28
16,150,168,-0.01261,25
17,244,274,-0.0248,15
18,48,212,-0.025847,17
19,56,68,-0.035974,65
20,14,86,-0.037568,48
21,106,206,-0.054993,15
22,130,290,-0.062365,11
23,30,38,-0.070281,107
24,60,100,-0.071647,31
25,60,260,-0.085586,18
26,138,140,-0.090206,81
27,120,128,-0.092607,41
28,110,144,-0.118988,21
29,242,286,-0.120292,13
30,22,182,-0.131542,23
31,70,162,-0.140961,15
32,14,266,-0.165912,29
33,46,118,-0.185748,27
34,70,206,-0.186169,17
35,42,278,-0.214055,20
36,96,162,-0.242768,15
37,26,58,-0.245038,61
38,22,26,-0.248789,159
39,16,210,-0.260967,29
40,32,244,-0.277075,19
41,20,86,-0.324214,44
42,24,44,-0.329848,83
43,26,118,-0.362815,33
44,48,54,-0.371198,95
45,282,292,-0.384983,21
46,86,192,-0.395391,15
47,28,130,-0.585632,33
