Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,240,270,515570.0000000004,9.400815910249873,0.9691488929364231,11,
In-Sample,Medoid 1,220,285,480861.9999999986,9.400815910249873,0.903613,13,
In-Sample,Medoid 2,140,290,306902.00000000035,9.400815910249873,0.770753,12,
In-Sample,Medoid 3,130,225,405934.00000000006,9.400815910249873,0.762429,15,
In-Sample,Medoid 4,85,290,298670.00000000047,9.400815910249873,0.757348,12,
In-Sample,Medoid 5,60,290,350677.9999999993,9.400815910249873,0.730561,10,
Out-of-Sample,Best,240,270,166095.99999999948,6.4042806183115335,0.7301779327284137,6,
Out-of-Sample,Medoid 1,220,285,152423.99999999977,6.4042806183115335,0.6699007013057825,2,
Out-of-Sample,Medoid 2,140,290,18276.000000000753,6.4042806183115335,0.08026493450914884,7,
Out-of-Sample,Medoid 3,130,225,33891.999999999694,6.4042806183115335,0.14883721057163166,5,
Out-of-Sample,Medoid 4,85,290,113108.00000000012,6.4042806183115335,0.4969550674280896,5,
Out-of-Sample,Medoid 5,60,290,30004.000000000335,6.4042806183115335,0.13176132747976876,4,
Full,Best,240,270,681665.9999999999,8.501427551748751,0.8977091911447301,17,13.0
Full,Medoid 1,220,285,633285.9999999986,8.501427551748751,0.8337423691080756,13,13.0
Full,Medoid 2,140,290,325178.00000000116,8.501427551748751,0.427706957700452,11,13.0
Full,Medoid 3,130,225,439825.99999999965,8.501427551748751,0.5786282048212144,15,13.0
Full,Medoid 4,85,290,411778.00000000064,8.501427551748751,0.5416973948683552,13,13.0
Full,Medoid 5,60,290,380681.99999999977,8.501427551748751,0.5007603768314415,11,13.0
