Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,206,230,1.017804,29
2,214,218,0.878207,55
3,204,260,0.729076,14
4,174,176,0.719438,107
5,204,282,0.649872,10
6,236,252,0.648799,29
7,166,256,0.634171,13
8,30,60,0.585861,48
9,192,208,0.567535,34
10,164,200,0.555978,21
11,146,228,0.539181,13
12,98,256,0.531912,13
13,28,102,0.501716,31
14,56,222,0.473329,14
15,24,256,0.457736,20
16,94,224,0.453425,13
17,42,86,0.445011,33
18,124,198,0.424861,17
19,44,46,0.420921,129
20,266,280,0.403862,30
21,110,288,0.39566,13
22,138,250,0.388424,11
23,164,170,0.386476,55
24,18,148,0.38108,32
25,50,66,0.366977,57
26,144,156,0.365375,39
27,16,94,0.364055,43
28,76,182,0.359017,14
29,44,50,0.347296,81
30,62,84,0.331914,37
31,136,166,0.326461,25
32,110,160,0.312265,19
33,24,210,0.300166,22
34,244,288,0.286584,14
35,50,280,0.274407,15
36,42,158,0.255978,16
37,54,118,0.216732,25
38,266,270,0.214068,48
39,52,246,0.200579,16
40,34,194,0.189677,18
41,110,124,0.161471,39
42,16,30,0.129661,98
43,74,146,0.126526,20
44,98,104,0.119697,57
45,108,110,0.091088,90
46,20,44,0.016282,67
47,78,116,-0.043151,26
48,86,118,-0.148581,32
