Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,72,80,438562.1875,21.212863705972435,0.858793004205934,39,
In-Sample,Medoid 1,58,82,347215.9375,21.212863705972435,0.745325,37,
In-Sample,Medoid 2,66,72,354788.4375,21.212863705972435,0.725352,69,
In-Sample,Medoid 3,144,162,352313.4375,21.212863705972435,0.689942,29,
In-Sample,Medoid 4,64,66,301711.5625,21.212863705972435,0.645541,113,
In-Sample,Medoid 5,150,154,301650.3125,21.212863705972435,0.617393,55,
Out-of-Sample,Best,72,80,113889.0625,15.574780058651026,0.39646145471031286,20,
Out-of-Sample,Medoid 1,58,82,-94442.8125,15.574780058651026,-0.32877093098612364,12,
Out-of-Sample,Medoid 2,66,72,-40369.6875,15.574780058651026,-0.14057492829796345,22,
Out-of-Sample,Medoid 3,144,162,90247.1875,15.574780058651026,0.3141537908265965,10,
Out-of-Sample,Medoid 4,64,66,-3648.4375,15.574780058651026,-0.012700790009244097,32,
Out-of-Sample,Medoid 5,150,154,150490.3125,15.574780058651026,0.5242935719033021,20,
Full,Best,72,80,552451.25,19.27867203219316,0.69178693379036,59,46.0
Full,Medoid 1,58,82,252773.125,19.27867203219316,0.3163239170586879,43,46.0
Full,Medoid 2,66,72,314418.75,19.27867203219316,0.39357891752943525,77,46.0
Full,Medoid 3,144,162,442560.625,19.27867203219316,0.5540407404256498,30,46.0
Full,Medoid 4,64,66,298063.125,19.27867203219316,0.3730993904501301,121,46.0
Full,Medoid 5,150,154,452140.625,19.27867203219316,0.5661248062690493,56,46.0
