Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,72,80,438562.1875,21.212863705972435,0.858793004205934,39,
In-Sample,Medoid 1,60,80,354249.0625,21.212863705972435,0.746711,39,
In-Sample,Medoid 2,146,162,347351.5625,21.212863705972435,0.684128,31,
In-Sample,Medoid 3,48,82,246309.6875,21.212863705972435,0.565548,33,
In-Sample,Medoid 4,22,194,322517.1875,21.212863705972435,0.56329,20,
In-Sample,Medoid 5,122,182,261465.3125,21.212863705972435,0.550355,15,
Out-of-Sample,Best,72,80,113889.0625,15.574780058651026,0.39646145471031286,20,
Out-of-Sample,Medoid 1,60,80,-64211.5625,15.574780058651026,-0.22355420153978758,14,
Out-of-Sample,Medoid 2,146,162,132151.5625,15.574780058651026,0.460301226315785,12,
Out-of-Sample,Medoid 3,48,82,51342.8125,15.574780058651026,0.17872456110907778,12,
Out-of-Sample,Medoid 4,22,194,82307.1875,15.574780058651026,0.2865457208942172,8,
Out-of-Sample,Medoid 5,122,182,35739.0625,15.574780058651026,0.12443294171920208,8,
Full,Best,72,80,552451.25,19.27867203219316,0.69178693379036,59,46.0
Full,Medoid 1,60,80,290037.5,19.27867203219316,0.3629448089739224,43,46.0
Full,Medoid 2,146,162,479503.125,19.27867203219316,0.6004066683299135,32,46.0
Full,Medoid 3,48,82,297652.5,19.27867203219316,0.37251023639804237,35,46.0
Full,Medoid 4,22,194,404824.375,19.27867203219316,0.5066900000447393,21,46.0
Full,Medoid 5,122,182,297204.375,19.27867203219316,0.371974266539312,16,46.0
