Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,202,204,269489.9999999999,5.244637385086823,0.5145890003902003,49,
In-Sample,Medoid 1,92,262,322296.0000000002,5.244637385086823,0.823553,12,
In-Sample,Medoid 2,182,248,277713.0,5.244637385086823,0.727024,15,
In-Sample,Medoid 3,78,242,159613.00000000023,5.244637385086823,0.653822,14,
In-Sample,Medoid 4,116,260,236614.0,5.244637385086823,0.652586,10,
In-Sample,Medoid 5,34,56,-3214.0000000000146,5.244637385086823,0.580715,56,
Out-of-Sample,Best,202,204,-187583.00000000017,3.4353582554517135,-0.49641311235952024,31,
Out-of-Sample,Medoid 1,92,262,-4943.9999999998545,3.4353582554517135,-0.013076261044593609,6,
Out-of-Sample,Medoid 2,182,248,-167096.99999999994,3.4353582554517135,-0.4421310473375013,7,
Out-of-Sample,Medoid 3,78,242,39778.000000000015,3.4353582554517135,0.10521186629328064,6,
Out-of-Sample,Medoid 4,116,260,-55329.999999999956,3.4353582554517135,-0.14635177925135,6,
Out-of-Sample,Medoid 5,34,56,131140.00000000012,3.4353582554517135,0.3469312310970353,25,
Full,Best,202,204,81906.99999999977,4.528069093152375,0.09068412726762318,80,9.0
Full,Medoid 1,92,262,317352.00000000035,4.528069093152375,0.3514153300033984,13,9.0
Full,Medoid 2,182,248,110616.00000000006,4.528069093152375,0.12246705378355821,18,9.0
Full,Medoid 3,78,242,199391.0000000003,4.528069093152375,0.22076510346523853,17,9.0
Full,Medoid 4,116,260,181284.0000000001,4.528069093152375,0.20071200565376507,11,9.0
Full,Medoid 5,34,56,127926.00000000007,4.528069093152375,0.14162385254536755,69,9.0
