Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,22,28,468558.00000000006,3.669050051072523,0.8039361642704463,80,
In-Sample,Medoid 1,24,32,344898.3999999998,3.669050051072523,0.61787,97,
In-Sample,Medoid 2,152,176,277880.6,3.669050051072523,0.585888,25,
In-Sample,Medoid 3,112,204,264940.2000000002,3.669050051072523,0.52067,13,
In-Sample,Medoid 4,48,236,217462.19999999998,3.669050051072523,0.449755,12,
In-Sample,Medoid 5,28,270,203996.80000000005,3.669050051072523,0.428253,14,
Out-of-Sample,Best,22,28,137405.20000000013,2.1164835164835165,0.44933357294231646,45,
Out-of-Sample,Medoid 1,24,32,65596.40000000004,2.1164835164835165,0.21443946737849356,33,
Out-of-Sample,Medoid 2,152,176,161505.79999999984,2.1164835164835165,0.5283007093351392,7,
Out-of-Sample,Medoid 3,112,204,160655.59999999995,2.1164835164835165,0.5254798204627115,3,
Out-of-Sample,Medoid 4,48,236,119327.59999999995,2.1164835164835165,0.3901974416839831,3,
Out-of-Sample,Medoid 5,28,270,148744.40000000002,2.1164835164835165,0.4864739308577988,3,
Full,Best,22,28,605963.2000000001,3.176429567642957,0.6805964565045363,125,5.0
Full,Medoid 1,24,32,410494.7999999998,3.176429567642957,0.4608189970438749,99,5.0
Full,Medoid 2,152,176,439386.3999999999,3.176429567642957,0.4933331707801287,25,5.0
Full,Medoid 3,112,204,425595.80000000005,3.176429567642957,0.47783778069627214,15,5.0
Full,Medoid 4,48,236,336789.7999999998,3.176429567642957,0.37805171907147445,13,5.0
Full,Medoid 5,28,270,352741.19999999995,3.176429567642957,0.3959640002824534,13,5.0
