Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,64,182,0.409449,15
2,116,162,0.403954,17
3,126,136,0.403383,45
4,190,204,0.38128,25
5,20,216,0.354442,25
6,74,140,0.31989,21
7,130,134,0.31527,67
8,38,174,0.309759,21
9,40,104,0.275521,25
10,180,214,0.273869,15
11,14,244,0.231515,21
12,224,230,0.209532,35
13,36,114,0.195588,21
14,74,110,0.171391,25
15,102,134,0.168492,23
16,68,210,0.167416,15
17,94,166,0.127823,17
18,212,246,0.096261,17
19,70,88,0.083338,39
20,160,226,0.078799,11
21,60,70,0.073301,65
22,174,262,0.020301,11
23,42,224,0.01893,17
24,24,148,0.000539,29
25,108,200,-0.012032,13
26,154,164,-0.014353,39
27,66,244,-0.014816,13
28,106,228,-0.024306,11
29,30,68,-0.04294,39
30,210,266,-0.050392,13
31,138,240,-0.051129,11
32,136,180,-0.060943,17
33,282,292,-0.073928,23
34,56,60,-0.073951,95
35,26,268,-0.079144,17
36,160,288,-0.08206,11
37,22,30,-0.113102,118
38,66,280,-0.123745,11
39,40,284,-0.148284,15
40,22,48,-0.159834,70
41,210,286,-0.199114,11
42,152,182,-0.216364,21
43,10,106,-0.313233,45
44,248,282,-0.367402,15
45,172,174,-0.426099,83
46,20,36,-0.510956,92
