Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,242,286,0.440506,12
2,214,232,0.407538,20
3,268,272,0.336097,30
4,202,262,0.320158,10
5,260,284,0.21592,16
6,184,242,0.211781,12
7,184,210,0.14781,20
8,116,120,0.11819,70
9,106,160,0.096235,16
10,124,146,0.090329,34
11,168,176,0.088473,50
12,220,258,0.086852,12
13,234,256,0.074444,14
14,154,268,0.012688,10
15,16,182,-0.005656,24
16,202,212,-0.015453,30
17,70,284,-0.023877,10
18,22,44,-0.044779,72
19,16,242,-0.062291,20
20,132,182,-0.067443,16
21,16,24,-0.091175,145
22,70,212,-0.09172,12
23,82,140,-0.092707,21
24,60,88,-0.115895,45
25,92,178,-0.117613,12
26,156,198,-0.128979,16
27,54,272,-0.149407,12
28,56,232,-0.169692,10
29,148,240,-0.170204,12
30,66,184,-0.176917,14
31,112,216,-0.177507,10
32,162,166,-0.207598,84
33,100,106,-0.219494,65
34,14,140,-0.245757,32
35,46,76,-0.256617,46
36,90,120,-0.256678,34
37,40,44,-0.273181,106
38,64,114,-0.273702,29
39,26,272,-0.299218,18
40,36,196,-0.357766,16
41,50,148,-0.372681,18
42,132,232,-0.429975,10
43,34,106,-0.511861,38
44,46,64,-0.604833,58
45,36,78,-0.626092,44
46,32,138,-0.634314,26
47,56,62,-0.6486,80
