Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,218,300,138523.0,10.1372446306967,0.26572774129774374,5,
In-Sample,Medoid 1,242,286,41561.0,10.1372446306967,0.440506,12,
In-Sample,Medoid 2,214,232,93707.0,10.1372446306967,0.407538,20,
In-Sample,Medoid 3,268,272,37743.0,10.1372446306967,0.336097,30,
In-Sample,Medoid 4,202,262,72244.0,10.1372446306967,0.320158,10,
In-Sample,Medoid 5,260,284,-31042.0,10.1372446306967,0.21592,16,
Out-of-Sample,Best,218,300,298669.0,7.595041322314049,0.7561239146009215,2,
Out-of-Sample,Medoid 1,242,286,274887.0,7.595041322314049,0.6958103197604176,6,
Out-of-Sample,Medoid 2,214,232,347259.0,7.595041322314049,0.8795188953786912,8,
Out-of-Sample,Medoid 3,268,272,206806.0,7.595041322314049,0.5231946809683348,12,
Out-of-Sample,Medoid 4,202,262,271063.0,7.595041322314049,0.6860818771431378,4,
Out-of-Sample,Medoid 5,260,284,254448.0,7.595041322314049,0.6439618816661886,8,
Full,Best,218,300,437192.0,9.038976495090747,0.4771352529891578,7,19.0
Full,Medoid 1,242,286,316448.0,9.038976495090747,0.3452730857934141,15,19.0
Full,Medoid 2,214,232,440966.0,9.038976495090747,0.4812517826945958,23,19.0
Full,Medoid 3,268,272,244549.0,9.038976495090747,0.26677610817072245,37,19.0
Full,Medoid 4,202,262,343307.0,9.038976495090747,0.37458600203588144,13,19.0
Full,Medoid 5,260,284,223406.0,9.038976495090747,0.24371679646396194,19,19.0
