Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,138,246,0.59668,14
2,26,82,0.531326,34
3,152,172,0.373709,34
4,158,254,0.266199,13
5,32,102,0.258398,32
6,112,238,0.258145,16
7,188,224,0.251329,25
8,30,46,0.251032,75
9,138,202,0.229945,20
10,150,198,0.210044,24
11,186,190,0.207046,70
12,32,38,0.189442,106
13,28,60,0.186584,47
14,198,210,0.167827,41
15,166,258,0.144191,13
16,78,238,0.089998,18
17,20,248,0.077728,30
18,116,280,0.050405,15
19,168,196,-0.005479,30
20,42,44,-0.013462,166
21,54,104,-0.019128,28
22,46,248,-0.030246,18
23,26,202,-0.090551,22
24,94,208,-0.093181,16
25,262,266,-0.094655,63
26,132,154,-0.139189,34
27,72,128,-0.141988,26
28,204,244,-0.145827,25
29,30,280,-0.177956,25
30,172,178,-0.187154,58
31,170,282,-0.208874,13
32,26,156,-0.22452,30
33,110,118,-0.233159,53
34,100,178,-0.239398,20
35,56,208,-0.240853,20
36,40,286,-0.268013,25
37,84,106,-0.273317,34
38,78,286,-0.279802,15
39,54,158,-0.285084,20
40,84,86,-0.286161,114
41,230,240,-0.317356,43
42,102,106,-0.339766,78
43,262,282,-0.36648,31
44,176,178,-0.376046,100
45,102,148,-0.383358,28
46,222,256,-0.417478,25
47,198,282,-0.436778,13
48,226,284,-0.556056,17
