Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,20,32,1.091503,98
2,16,46,0.794844,64
3,126,208,0.65915,20
4,134,148,0.53683,36
5,64,244,0.490068,18
6,94,258,0.479824,16
7,116,162,0.477809,24
8,168,200,0.466957,29
9,126,226,0.438655,20
10,14,156,0.431876,35
11,102,186,0.430697,18
12,170,172,0.430248,85
13,60,282,0.416509,19
14,158,164,0.367258,55
15,196,206,0.360935,45
16,20,66,0.323655,47
17,48,226,0.311425,18
18,142,238,0.308812,19
19,20,200,0.204847,28
20,82,204,0.186075,20
21,18,24,0.160417,150
22,112,128,0.158985,36
23,128,280,0.15799,17
24,18,102,0.156365,35
25,16,274,0.137431,29
26,174,244,0.067572,19
27,26,230,0.042729,24
28,28,276,-0.053735,25
29,36,46,-0.060417,70
30,164,280,-0.096873,18
31,32,74,-0.110256,43
32,32,124,-0.121058,27
33,52,192,-0.132339,24
34,218,264,-0.181035,21
35,92,104,-0.228913,48
36,258,288,-0.238862,23
37,72,114,-0.24965,34
38,258,260,-0.253095,84
39,232,244,-0.268526,42
40,48,172,-0.289165,24
41,192,282,-0.33534,17
42,62,74,-0.410205,61
43,82,84,-0.431109,98
44,268,278,-0.433605,43
45,54,90,-0.474506,40
46,62,142,-0.498646,26
47,212,292,-0.50879,17
