Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,22,32,698765.0000000002,9.103195390256678,1.2322390168383428,60,
In-Sample,Medoid 1,18,36,597022.0000000008,9.103195390256678,0.832585,76,
In-Sample,Medoid 2,140,166,249922.00000000012,9.103195390256678,0.678686,28,
In-Sample,Medoid 3,128,204,226236.0000000002,9.103195390256678,0.627516,20,
In-Sample,Medoid 4,114,152,149046.00000000006,9.103195390256678,0.566535,26,
In-Sample,Medoid 5,22,38,400452.0000000003,9.103195390256678,0.564095,76,
Out-of-Sample,Best,22,32,356.00000000015643,7.638795986622074,0.0013248856853009601,33,
Out-of-Sample,Medoid 1,18,36,-27481.999999999738,7.638795986622074,-0.10224922858490663,25,
Out-of-Sample,Medoid 2,140,166,-236680.0000000001,7.638795986622074,-0.882076565064386,14,
Out-of-Sample,Medoid 3,128,204,-219597.00000000012,7.638795986622074,-0.8182284522631645,10,
Out-of-Sample,Medoid 4,114,152,-307151.99999999994,7.638795986622074,-1.1460592236416434,10,
Out-of-Sample,Medoid 5,22,38,52611.99999999992,7.638795986622074,0.19582458890991192,25,
Full,Best,22,32,699121.0000000005,8.635067712045617,0.8360617007293876,93,17.0
Full,Medoid 1,18,36,569540.0000000012,8.635067712045617,0.6807096233377038,79,17.0
Full,Medoid 2,140,166,13242.000000000116,8.635067712045617,0.015815073727928477,30,17.0
Full,Medoid 3,128,204,6639.000000000218,8.635067712045617,0.007929360239749165,22,17.0
Full,Medoid 4,114,152,-158105.99999999994,8.635067712045617,-0.188842478121231,28,17.0
Full,Medoid 5,22,38,453064.0000000003,8.635067712045617,0.5413186117292206,79,17.0
