Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,154,164,0.473023,41
2,146,180,0.350124,19
3,146,164,0.310488,37
4,22,162,0.225852,21
5,22,274,0.171751,18
6,24,218,0.113244,18
7,138,190,0.056311,15
8,24,126,0.04549,27
9,38,78,0.04437,43
10,182,188,-0.000272,42
11,46,132,-0.039905,23
12,182,204,-0.047504,22
13,222,274,-0.051119,14
14,12,274,-0.077398,30
15,98,218,-0.096835,10
16,112,178,-0.09726,19
17,204,236,-0.119416,18
18,180,270,-0.120986,10
19,90,272,-0.12306,10
20,150,212,-0.13831,12
21,68,186,-0.140015,15
22,248,284,-0.169685,14
23,276,284,-0.184903,26
24,26,98,-0.187511,41
25,46,248,-0.193702,12
26,128,222,-0.224988,10
27,176,178,-0.241443,66
28,118,276,-0.243145,10
29,62,214,-0.25234,14
30,94,98,-0.254927,79
31,44,50,-0.258997,93
32,176,230,-0.285904,16
33,116,154,-0.290581,29
34,26,54,-0.294514,64
35,146,252,-0.295739,10
36,238,250,-0.305725,24
37,74,106,-0.321873,35
38,44,46,-0.327547,151
39,146,284,-0.346234,10
40,102,112,-0.350605,50
41,56,274,-0.374937,12
42,64,158,-0.381423,19
43,76,140,-0.449268,21
44,24,64,-0.510259,64
45,102,138,-0.586198,33
46,66,98,-0.64756,33
47,14,36,-0.72925,101
