period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,34,0.6293285171903051,5554.999999999981,-1.0498942137052985,-9265.00000000008,-1.6293478096884084,-14315.000000000007,-1.6293478096884084,-14315.000000000007,-1.4361966110273716,-12631.666666666699,0.63,-1.44
2021-11,2021-11-15,44,-1.6343069353574062,-19984.999999999956,-2.6027440868032183,-31624.99999999992,-2.3287989353980394,-28325.0,-1.1859561158164427,-14534.999999999969,-2.039166379339233,-24828.333333333296,-1.63,-2.04
2022-01,2022-01-15,41,1.0028459900573612,12560.00000000011,2.114294103670341,26299.99999999997,1.3404961917729763,16760.000000000025,1.3404961917729763,16760.000000000025,1.5984288290720976,19940.00000000001,1.0,1.6
2022-03,2022-03-15,43,2.074775975060597,27840.000000000004,2.074775975060597,27840.000000000004,2.074775975060597,27840.000000000004,2.074775975060597,27840.000000000004,2.074775975060597,27840.000000000004,2.07,2.07
2022-05,2022-05-15,44,1.9296974560489721,24135.000000000102,1.2123636863677738,15235.000000000025,1.2123636863677738,15235.000000000025,1.2123636863677738,15235.000000000025,1.2123636863677738,15235.000000000024,1.93,1.21
2022-07,2022-07-15,44,-0.1382384113255793,-1289.9999999999818,-0.06544076079802438,-609.9999999999945,0.8189200339919935,7630.000000000042,0.8189200339919935,7630.000000000042,0.524133102395321,4883.333333333363,-0.14,0.52
2022-09,2022-09-15,43,2.842975591576748,37180.00000000003,3.058948377172434,39900.00000000007,3.8653314063789552,49899.99999999996,3.8653314063789552,49899.99999999996,3.5965370633101146,46566.666666666664,2.84,3.6
2022-11,2022-11-15,43,-1.9007831609328698,-21425.00000000003,-2.138079688310479,-24065.000000000022,-2.6847756223764496,-30054.999999999993,-2.6847756223764496,-30054.999999999993,-2.5025436443544593,-28058.333333333332,-1.9,-2.5
2023-01,2023-01-15,41,-0.2631083145547987,-2769.9999999999854,-0.2631083145547987,-2769.9999999999854,0.2631083145547987,2769.9999999999854,0.2631083145547987,2769.9999999999854,0.08770277151826623,923.3333333333285,-0.26,0.09
2023-03,2023-03-15,43,0.24055363873403166,2275.000000000149,0.49114630007650506,4635.0000000000255,-0.5933979999931952,-5605.000000000029,-0.5933979999931952,-5605.000000000029,-0.2318832333032951,-2191.6666666666774,0.24,-0.23
2023-05,2023-05-15,45,-3.3081745642102054,-39225.00000000005,-3.556935276957699,-42035.00000000008,-0.5042349175051886,-6104.999999999973,-0.5042349175051886,-6104.999999999973,-1.5218017039893585,-18081.666666666675,-3.31,-1.52
2023-07,2023-07-15,44,1.1998188134671217,15924.999999999949,-1.6379040554045226,-21675.000000000062,-3.291178956466798,-42834.999999999905,-4.30612983953663,-55255.000000000065,-3.07840428380265,-39921.66666666668,1.2,-3.08
2023-09,2023-09-15,43,2.0649347761761656,22794.999999999935,3.1808838898195075,34725.000000000044,-3.1808838898195075,-34725.000000000044,-3.1808838898195075,-34725.000000000044,-1.060294629939836,-11575.000000000015,2.06,-1.06
2023-11,2023-11-15,42,-1.1256448468052005,-13444.999999999955,-0.9669793471803216,-11555.000000000042,0.40974488819629024,4905.000000000056,-1.393121010413983,-16604.99999999997,-0.6501184897993382,-7751.666666666652,-1.13,-0.65
2024-01,2024-01-15,43,-0.5006871158348256,-5730.000000000015,-4.271753665016166,-47220.00000000002,2.8403004171160844,32010.000000000022,0.7815976050581264,8939.999999999978,-0.2166185476139851,-2090.0000000000073,-0.5,-0.22
2024-03,2024-03-15,42,-1.098137663129823,-11884.999999999858,0.6382898929730575,6925.000000000022,-2.127469895744046,-22865.000000000015,-3.6049398317381156,-38155.000000000146,-1.698039944836368,-18031.66666666671,-1.1,-1.7
2024-05,2024-05-15,43,-0.9191429374506868,-9795.000000000146,-2.6133473598000894,-27524.999999999898,-1.4921607286175531,-15855.000000000025,-1.4921607286175531,-15855.000000000025,-1.8658896056783985,-19744.999999999985,-0.92,-1.87
2024-07,2024-07-15,45,3.256991691541823,46094.9999999997,-1.9456311180056702,-27885.000000000102,-1.8101334832711604,-25985.000000000033,-1.829287897968496,-26254.99999999999,-1.861684166415109,-26708.333333333372,3.26,-1.86
2024-09,2024-09-15,44,-0.11869389431531421,-1845.0000000000991,-0.05756521039228501,-895.0000000000737,0.9673664506773626,15005.0,0.9673664506773626,15005.0,0.6257225636541467,9704.999999999976,-0.12,0.63
2024-11,2024-11-15,42,0.31327317701570423,3184.9999999999263,-0.20991465040664112,-2135.000000000008,-2.135164331659236,-21514.999999999964,-2.135164331659236,-21514.999999999964,-1.4934144379083711,-15054.999999999978,0.31,-1.49
