Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,25,50,0.645951,58
2,220,245,0.637879,23
3,200,265,0.432894,15
4,240,270,0.249175,26
5,135,250,0.229684,13
6,15,155,0.20865,33
7,15,200,0.197572,29
8,40,110,0.193178,27
9,30,85,0.160153,32
10,20,250,0.134153,28
11,130,230,0.112538,15
12,110,265,0.096867,15
13,50,225,0.09292,18
14,190,290,0.061122,14
15,270,285,0.054014,29
16,65,135,0.015789,20
17,35,275,0.008304,22
18,65,200,-0.02059,16
19,70,165,-0.029064,22
20,80,110,-0.02985,26
21,190,210,-0.036345,29
22,160,185,-0.042853,27
23,30,225,-0.044187,22
24,125,290,-0.049246,14
25,170,230,-0.071236,15
26,85,290,-0.109696,16
27,160,270,-0.119712,14
28,40,165,-0.135321,23
29,80,255,-0.161818,19
30,240,295,-0.163739,18
31,135,205,-0.189604,17
32,50,290,-0.222241,18
33,115,190,-0.284227,17
34,85,230,-0.321878,16
35,135,160,-0.337245,33
36,105,185,-0.558373,16
37,105,165,-0.626007,20
