Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,42,46,450369.9999999999,8.1841046277666,0.7704097528608367,72,
In-Sample,Medoid 1,22,54,375069.9999999999,8.1841046277666,0.641433,56,
In-Sample,Medoid 2,220,244,324899.9999999999,8.1841046277666,0.629054,25,
In-Sample,Medoid 3,214,252,251989.99999999988,8.1841046277666,0.494612,23,
In-Sample,Medoid 4,22,56,288119.99999999965,8.1841046277666,0.492503,58,
In-Sample,Medoid 5,14,130,216870.00000000026,8.1841046277666,0.379944,35,
Out-of-Sample,Best,42,46,70149.9999999998,7.620164126611958,0.2990547487769269,42,
Out-of-Sample,Medoid 1,22,54,-93700.00000000012,7.620164126611958,-0.3994687205799028,24,
Out-of-Sample,Medoid 2,220,244,-76129.99999999981,7.620164126611958,-0.3245863924572016,8,
Out-of-Sample,Medoid 3,214,252,-134900.00000000012,7.620164126611958,-0.5754008527982826,6,
Out-of-Sample,Medoid 4,22,56,-126840.00000000026,7.620164126611958,-0.5408476894877468,24,
Out-of-Sample,Medoid 5,14,130,-36480.00000000025,7.620164126611958,-0.1555005426300766,14,
Full,Best,42,46,520519.99999999965,8.014783526927138,0.6351816332857176,114,15.0
Full,Medoid 1,22,54,281369.99999999977,8.014783526927138,0.34317259291908364,56,15.0
Full,Medoid 2,220,244,248770.00000000003,8.014783526927138,0.3033954562356343,25,15.0
Full,Medoid 3,214,252,117089.99999999971,8.014783526927138,0.1427792720672829,23,15.0
Full,Medoid 4,22,56,161279.99999999942,8.014783526927138,0.19665030165897388,58,15.0
Full,Medoid 5,14,130,180390.00000000003,8.014783526927138,0.21997263095699204,35,15.0
