Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,42,46,450369.9999999999,8.1841046277666,0.7704097528608367,72,
In-Sample,Medoid 1,222,244,291140.0000000001,8.1841046277666,0.576957,27,
In-Sample,Medoid 2,22,56,288119.99999999965,8.1841046277666,0.492503,58,
In-Sample,Medoid 3,32,46,266610.0000000003,8.1841046277666,0.455721,66,
In-Sample,Medoid 4,212,252,181130.0000000001,8.1841046277666,0.389097,21,
In-Sample,Medoid 5,12,124,189339.99999999977,8.1841046277666,0.376138,35,
Out-of-Sample,Best,42,46,70149.9999999998,7.620164126611958,0.2990547487769269,42,
Out-of-Sample,Medoid 1,222,244,-44189.999999999956,7.620164126611958,-0.18837935785748774,8,
Out-of-Sample,Medoid 2,22,56,-126840.00000000026,7.620164126611958,-0.5408476894877468,24,
Out-of-Sample,Medoid 3,32,46,-55459.999999999665,7.620164126611958,-0.23641937325378315,30,
Out-of-Sample,Medoid 4,212,252,-136720.0,7.620164126611958,-0.5831173928888,6,
Out-of-Sample,Medoid 5,12,124,-84650.0,7.620164126611958,-0.36087821925884417,14,
Full,Best,42,46,520519.99999999965,8.014783526927138,0.6351816332857176,114,15.0
Full,Medoid 1,222,244,246950.0000000001,8.014783526927138,0.3011781179942356,27,15.0
Full,Medoid 2,22,56,161279.99999999942,8.014783526927138,0.19665030165897388,58,15.0
Full,Medoid 3,32,46,211150.00000000064,8.014783526927138,0.25749313682868097,66,15.0
Full,Medoid 4,212,252,44410.0000000001,8.014783526927138,0.05414956552640719,21,15.0
Full,Medoid 5,12,124,104689.9999999998,8.014783526927138,0.1276471459284878,35,15.0
