Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,44,208,0.749348,14
2,42,108,0.712856,31
3,90,98,0.699973,67
4,74,132,0.632055,23
5,98,172,0.621534,14
6,44,254,0.61143,10
7,74,164,0.591751,18
8,46,170,0.57669,21
9,44,82,0.564342,39
10,50,130,0.519743,25
11,58,64,0.505243,85
12,50,66,0.496798,61
13,70,72,0.492522,132
14,104,138,0.487315,26
15,122,130,0.482302,56
16,134,164,0.461715,18
17,148,160,0.449907,34
18,74,106,0.43968,36
19,22,254,0.439667,17
20,34,84,0.416329,42
21,68,226,0.37274,12
22,110,194,0.362502,12
23,236,248,0.34614,25
24,98,222,0.339173,12
25,40,292,0.329809,12
26,18,210,0.29796,23
27,20,158,0.249663,29
28,190,218,0.247143,12
29,126,254,0.208043,10
30,132,134,0.170282,108
31,144,180,0.169056,16
32,160,284,0.113749,10
33,18,292,0.08971,16
34,16,124,0.080348,44
35,158,208,0.048366,10
36,16,68,0.012523,60
37,18,94,0.005886,52
38,260,264,-0.085163,33
39,166,192,-0.088714,16
40,20,42,-0.094648,82
41,224,252,-0.136458,15
42,20,30,-0.235548,124
43,216,272,-0.310498,10
44,180,184,-0.360854,48
45,214,230,-0.420334,19
46,262,288,-0.423919,14
47,222,290,-0.445078,10
