Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,38,96,450205.0000000006,6.670582226762002,0.7966181591684075,21,
In-Sample,Medoid 1,44,208,371135.00000000023,6.670582226762002,0.749348,14,
In-Sample,Medoid 2,42,108,336485.00000000035,6.670582226762002,0.712856,31,
In-Sample,Medoid 3,90,98,404534.9999999997,6.670582226762002,0.699973,67,
In-Sample,Medoid 4,74,132,304655.00000000035,6.670582226762002,0.632055,23,
In-Sample,Medoid 5,98,172,312050.0000000001,6.670582226762002,0.621534,14,
Out-of-Sample,Best,38,96,-14555.000000000065,4.05781990521327,-0.04313670425009933,15,
Out-of-Sample,Medoid 1,44,208,211089.99999999997,4.05781990521327,0.62612603292372,4,
Out-of-Sample,Medoid 2,42,108,17019.999999999898,4.05781990521327,0.0504429788020625,12,
Out-of-Sample,Medoid 3,90,98,66839.99999999983,4.05781990521327,0.19809991398612464,23,
Out-of-Sample,Medoid 4,74,132,46049.99999999994,4.05781990521327,0.13648952294389846,9,
Out-of-Sample,Medoid 5,98,172,-84984.99999999997,4.05781990521327,-0.25189532580022916,7,
Full,Best,38,96,435650.0000000006,5.755725190839694,0.481848876753635,36,13.0
Full,Medoid 1,44,208,582225.0000000002,5.755725190839694,0.6441912706162363,15,13.0
Full,Medoid 2,42,108,353505.0000000003,5.755725190839694,0.39090627056778665,33,13.0
Full,Medoid 3,90,98,471374.9999999996,5.755725190839694,0.5213970093513921,69,13.0
Full,Medoid 4,74,132,350705.00000000035,5.755725190839694,0.3878148977068945,25,13.0
Full,Medoid 5,98,172,227065.00000000032,5.755725190839694,0.2510440905077621,15,13.0
