Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,38,96,450205.0000000006,6.670582226762002,0.7966181591684075,21,
In-Sample,Medoid 1,42,106,355275.00000000035,6.670582226762002,0.747122,31,
In-Sample,Medoid 2,46,202,366865.0000000002,6.670582226762002,0.710634,14,
In-Sample,Medoid 3,86,172,360345.0,6.670582226762002,0.682324,14,
In-Sample,Medoid 4,74,158,355534.9999999999,6.670582226762002,0.636538,16,
In-Sample,Medoid 5,80,120,286380.0,6.670582226762002,0.624144,26,
Out-of-Sample,Best,38,96,-14555.000000000065,4.05781990521327,-0.04313670425009933,15,
Out-of-Sample,Medoid 1,42,106,-30405.00000000013,4.05781990521327,-0.09010992870556046,12,
Out-of-Sample,Medoid 2,46,202,201230.0,4.05781990521327,0.5968026727347522,4,
Out-of-Sample,Medoid 3,86,172,-1385.0000000000146,4.05781990521327,-0.004104689573165512,7,
Out-of-Sample,Medoid 4,74,158,-143175.00000000006,4.05781990521327,-0.4244460159710022,7,
Out-of-Sample,Medoid 5,80,120,170145.0,4.05781990521327,0.5045204815360385,12,
Full,Best,38,96,435650.0000000006,5.755725190839694,0.481848876753635,36,13.0
Full,Medoid 1,42,106,324870.00000000035,5.755725190839694,0.3592284233990607,33,13.0
Full,Medoid 2,46,202,568095.0000000002,5.755725190839694,0.6285230311745369,15,13.0
Full,Medoid 3,86,172,358960.0,5.755725190839694,0.396952671001682,15,13.0
Full,Medoid 4,74,158,212359.99999999985,5.755725190839694,0.23477673363551455,17,13.0
Full,Medoid 5,80,120,456525.0000000001,5.755725190839694,0.5049446156651287,28,13.0
