period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,43,-0.07971777533834513,-1355.0,-0.21196784334237168,-3605.0,1.4883204087528448,25195.0,1.4053872578074393,23800.0,0.8939132744059708,15130.0,-0.08,0.89
2021-11,2021-11-15,44,-3.8580261932230218,-57375.0,0.12756236148387645,1950.0,0.12756236148387645,1950.0,1.6231671057443957,24690.0,0.6260972762373829,9530.0,-3.86,0.63
2022-01,2022-01-15,41,0.8010314857762904,9720.0,2.037166251250197,24540.0,2.776871508976885,33240.0,-1.9497595649979054,-23505.0,0.9547593984097255,11425.0,0.8,0.95
2022-03,2022-03-15,43,-1.690513857536694,-26720.0,1.2723628668167168,20140.0,0.18031434646057357,2865.0,-0.24234577296439253,-3850.0,0.40344381343763264,6385.0,-1.69,0.4
2022-05,2022-05-15,44,-0.06163595787609221,-1005.0,0.34436813675245276,5625.0,0.34436813675245276,5625.0,0.34436813675245276,5625.0,0.34436813675245276,5625.0,-0.06,0.34
2022-07,2022-07-15,44,0.6294646721072022,6645.0,-1.5417013153010921,-16200.0,-1.5417013153010921,-16200.0,-1.5417013153010921,-16200.0,-1.5417013153010923,-16200.0,0.63,-1.54
2022-09,2022-09-15,43,3.2080791979468644,43905.0,2.8169888088831074,38745.0,2.35665668240088,32595.0,1.4797657595522862,20595.0,2.2178037502787578,30645.0,3.21,2.22
2022-11,2022-11-15,43,0.7845515683560238,10120.0,-3.00786483027042,-38100.0,-3.00786483027042,-38100.0,-3.00786483027042,-38100.0,-3.0078648302704196,-38100.0,0.78,-3.01
2023-01,2023-01-15,41,-2.5563418533727824,-21655.0,2.958908446008332,24950.0,2.958908446008332,24950.0,2.958908446008332,24950.0,2.958908446008332,24950.0,-2.56,2.96
2023-03,2023-03-15,43,1.2811461413600993,18725.0,-0.8085127822420192,-11830.0,-0.8085127822420192,-11830.0,2.2507837327004148,32625.0,0.21125272273879214,2988.3333333333335,1.28,0.21
2023-05,2023-05-15,45,4.488216427681466,77450.0,1.1110114850128305,19910.0,2.556468620166222,45310.0,4.488216427681466,77450.0,2.7185655109535056,47556.666666666664,4.49,2.72
2023-07,2023-07-15,44,-1.179295203300855,-14675.0,-0.8856423616840894,-11025.0,-0.8856423616840894,-11025.0,-0.8856423616840894,-11025.0,-0.8856423616840893,-11025.0,-1.18,-0.89
2023-09,2023-09-15,43,-0.760277691371815,-10275.0,-1.1358135586832152,-15300.0,-1.1358135586832152,-15300.0,-1.1358135586832152,-15300.0,-1.1358135586832152,-15300.0,-0.76,-1.14
2023-11,2023-11-15,42,-1.3941743248919356,-15840.0,2.635249644713122,29625.0,2.635249644713122,29625.0,2.635249644713122,29625.0,2.635249644713122,29625.0,-1.39,2.64
2024-01,2024-01-15,43,5.8646332564391805,79345.0,6.079694037677468,81850.0,6.079694037677468,81850.0,6.079694037677468,81850.0,6.079694037677467,81850.0,5.86,6.08
2024-03,2024-03-15,42,-0.9924677447136451,-13535.0,-0.8084750670626883,-11025.0,-0.8084750670626883,-11025.0,-0.8084750670626883,-11025.0,-0.8084750670626883,-11025.0,-0.99,-0.81
2024-05,2024-05-15,43,-2.7614024928581755,-32350.0,1.776344633887494,20950.0,1.776344633887494,20950.0,1.776344633887494,20950.0,1.7763446338874942,20950.0,-2.76,1.78
2024-07,2024-07-15,45,-0.29711004205834474,-6955.0,-0.48067516732167226,-11250.0,-0.48067516732167226,-11250.0,-0.48067516732167226,-11250.0,-0.48067516732167226,-11250.0,-0.3,-0.48
2024-09,2024-09-15,44,-2.4822402032007513,-42030.0,0.35459291879755656,6075.0,0.35459291879755656,6075.0,0.35459291879755656,6075.0,0.35459291879755656,6075.0,-2.48,0.35
2024-11,2024-11-15,42,1.6456780003813438,19130.0,2.1944974695280095,25380.0,0.4430768977043305,5180.0,-0.3526515214018704,-4120.0,0.7616409486101565,8813.333333333334,1.65,0.76
