Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,106,176,0.863864,14
2,52,164,0.832874,14
3,84,198,0.763665,13
4,102,144,0.746474,22
5,102,106,0.706813,71
6,106,124,0.678406,37
7,26,242,0.647832,18
8,46,122,0.626612,25
9,38,196,0.618773,14
10,28,154,0.605006,20
11,196,226,0.598014,14
12,22,200,0.566524,20
13,58,246,0.559453,11
14,80,156,0.558651,15
15,18,282,0.551537,18
16,54,286,0.526355,11
17,126,176,0.519951,16
18,208,248,0.511619,13
19,154,182,0.485986,21
20,140,150,0.475173,51
21,60,208,0.466198,15
22,228,274,0.460585,12
23,236,242,0.459507,34
24,120,210,0.457958,13
25,120,122,0.442591,108
26,78,100,0.426915,41
27,52,58,0.420893,91
28,162,228,0.409158,10
29,18,144,0.379265,34
30,132,228,0.362162,12
31,184,210,0.352196,16
32,74,114,0.342724,29
33,48,66,0.338349,55
34,220,222,0.33294,56
35,60,62,0.332032,149
36,46,98,0.328229,35
37,142,148,0.287973,61
38,10,178,0.253945,36
39,186,194,0.219287,38
40,256,288,0.175337,16
41,278,290,0.169436,26
42,280,282,0.162464,54
43,30,52,0.116683,64
44,32,90,0.057198,38
45,26,96,-0.088762,38
46,14,74,-0.1913,54
47,24,30,-0.212278,136
48,16,38,-0.407301,94
