Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,42,90,0.635529,35
2,22,72,0.545219,50
3,60,64,0.543946,105
4,24,28,0.486272,147
5,20,100,0.405962,42
6,34,52,0.385552,68
7,68,84,0.346517,47
8,38,236,0.296752,20
9,24,150,0.293133,27
10,28,122,0.28831,27
11,158,182,0.214203,27
12,36,274,0.122939,14
13,176,222,0.100157,20
14,64,110,0.095953,27
15,70,248,0.068659,14
16,142,216,0.059908,19
17,16,276,0.046484,28
18,176,182,0.028709,51
19,58,134,0.023417,22
20,20,42,0.008392,80
21,28,178,-0.025167,29
22,14,192,-0.048679,37
23,178,246,-0.066502,20
24,32,38,-0.07301,122
25,116,128,-0.105464,38
26,192,194,-0.116661,80
27,50,172,-0.126697,22
28,72,282,-0.136119,12
29,26,220,-0.139883,27
30,128,130,-0.157621,85
31,126,250,-0.208464,18
32,226,230,-0.21891,50
33,96,130,-0.26244,26
34,170,280,-0.27242,14
35,218,250,-0.27917,22
36,170,200,-0.301851,25
37,78,192,-0.304253,20
38,92,224,-0.311883,22
39,94,160,-0.420392,20
40,132,158,-0.482372,29
41,114,274,-0.521318,14
42,274,294,-0.540572,25
43,120,198,-0.604557,21
44,202,284,-0.6629,18
45,272,274,-0.723213,71
46,126,288,-0.73764,14
47,260,270,-0.913215,37
48,238,286,-0.954813,19
