Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,40,62,0.441864,55
2,56,92,0.427717,40
3,14,230,0.385061,19
4,76,86,0.302373,74
5,24,52,0.278768,67
6,42,154,0.272833,25
7,64,116,0.230043,33
8,174,196,0.206539,31
9,20,278,0.196078,18
10,44,46,0.16633,153
11,24,80,0.118165,47
12,28,38,0.107872,101
13,68,150,0.048382,23
14,38,236,0.025677,17
15,18,156,0.000247,35
16,46,274,-0.010198,12
17,34,190,-0.04654,27
18,64,196,-0.053572,21
19,36,118,-0.065041,33
20,66,278,-0.068018,12
21,150,160,-0.114006,47
22,88,282,-0.145598,10
23,166,168,-0.151643,99
24,124,134,-0.195745,53
25,142,172,-0.199027,29
26,82,162,-0.202102,23
27,80,234,-0.207385,15
28,262,268,-0.217486,60
29,122,234,-0.217558,13
30,158,210,-0.242014,21
31,154,250,-0.246364,11
32,92,200,-0.292473,17
33,118,284,-0.339653,10
34,230,270,-0.363704,20
35,244,246,-0.369573,83
36,180,264,-0.41799,12
37,208,234,-0.451578,27
38,272,292,-0.468159,30
39,120,186,-0.495228,23
40,242,256,-0.505907,39
41,134,204,-0.523856,19
42,236,294,-0.545956,14
43,96,146,-0.554412,25
44,182,290,-0.582031,10
45,108,152,-0.624639,25
46,114,128,-0.759114,49
47,194,230,-0.808808,25
