Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,24,392410.0,8.204819277108435,0.7367699293538488,121,
In-Sample,Medoid 1,40,62,228550.0,8.204819277108435,0.441864,55,
In-Sample,Medoid 2,56,92,149710.0,8.204819277108435,0.427717,40,
In-Sample,Medoid 3,14,230,247450.0,8.204819277108435,0.385061,19,
In-Sample,Medoid 4,76,86,66975.0,8.204819277108435,0.302373,74,
In-Sample,Medoid 5,24,52,144950.0,8.204819277108435,0.278768,67,
Out-of-Sample,Best,20,24,45622.5,5.474460839954597,0.18910928575770172,60,
Out-of-Sample,Medoid 1,40,62,45222.5,5.474460839954597,0.18744439093368898,17,
Out-of-Sample,Medoid 2,56,92,-19222.5,5.474460839954597,-0.07967058664274251,13,
Out-of-Sample,Medoid 3,14,230,55607.5,5.474460839954597,0.2304891991479335,5,
Out-of-Sample,Medoid 4,76,86,54267.5,5.474460839954597,0.22493690290641027,25,
Out-of-Sample,Medoid 5,24,52,20287.5,5.474460839954597,0.08408410447640206,20,
Full,Best,20,24,438032.5,7.342652329749104,0.5660639505500481,181,15.0
Full,Medoid 1,40,62,273772.5,7.342652329749104,0.35368948445977655,57,15.0
Full,Medoid 2,56,92,130487.5,7.342652329749104,0.16854282247255117,41,15.0
Full,Medoid 3,14,230,303057.5,7.342652329749104,0.39154361462878423,19,15.0
Full,Medoid 4,76,86,121242.5,7.342652329749104,0.156604449503766,75,15.0
Full,Medoid 5,24,52,165237.5,7.342652329749104,0.21343810119733186,69,15.0
