Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,24,392410.0,8.204819277108435,0.7367699293538488,121,
In-Sample,Medoid 1,34,44,246325.0,8.204819277108435,0.474911,81,
In-Sample,Medoid 2,16,240,265960.0,8.204819277108435,0.430285,17,
In-Sample,Medoid 3,72,94,99255.0,8.204819277108435,0.399151,44,
In-Sample,Medoid 4,22,42,194945.0,8.204819277108435,0.379055,83,
In-Sample,Medoid 5,44,86,91195.0,8.204819277108435,0.35647,40,
Out-of-Sample,Best,20,24,45622.5,5.474460839954597,0.18910928575770172,60,
Out-of-Sample,Medoid 1,34,44,-36387.5,5.474460839954597,-0.15082981875802487,26,
Out-of-Sample,Medoid 2,16,240,44247.5,5.474460839954597,0.18340675982281426,5,
Out-of-Sample,Medoid 3,72,94,-12817.5,5.474460839954597,-0.0531234900910051,15,
Out-of-Sample,Medoid 4,22,42,33187.5,5.474460839954597,0.1375443593825565,26,
Out-of-Sample,Medoid 5,44,86,53442.5,5.474460839954597,0.22155984067236018,15,
Full,Best,20,24,438032.5,7.342652329749104,0.5660639505500481,181,15.0
Full,Medoid 1,34,44,209937.5,7.342652329749104,0.2712007763925577,83,15.0
Full,Medoid 2,16,240,310207.5,7.342652329749104,0.4008078065509153,17,15.0
Full,Medoid 3,72,94,86437.5,7.342652329749104,0.1116402376196182,45,15.0
Full,Medoid 4,22,42,228132.5,7.342652329749104,0.294695145314207,85,15.0
Full,Medoid 5,44,86,144637.5,7.342652329749104,0.18683912477015588,41,15.0
