period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-07,2021-07-15,23,3.083163382356123,25139.99999999998,-3.083163382356123,-25139.99999999998,-1.4648176632762204,-12140.999999999984,3.083163382356123,25139.99999999998,-0.48827255442540674,-4046.999999999994,3.08,-0.49
2021-09,2021-09-15,43,-0.13411745123256602,-1859.9999999999732,-0.21675459151617105,-3006.0000000000614,0.21094954561098722,2925.0000000000614,0.21094954561098722,2925.0000000000614,0.06838149990193447,948.0000000000205,-0.13,0.07
2021-11,2021-11-15,44,-0.8139520586371652,-9935.000000000076,0.7532769263307854,9199.999999999978,0.7532769263307854,9199.999999999978,-6.070371847061916,-69212.0,-1.5212726648001151,-16937.333333333347,-0.81,-1.52
2022-01,2022-01-15,41,1.6160513609752793,20144.00000000001,-1.235044994140643,-15425.000000000004,-1.235044994140643,-15425.000000000004,3.591377132316875,43843.99999999998,0.3737623813451963,4331.333333333324,1.62,0.37
2022-03,2022-03-15,43,-1.4044342235213894,-16718.000000000007,1.4883302255486652,17710.0,-1.7310162796238533,-20564.000000000022,-1.4883302255486652,-17710.0,-0.5770054265412844,-6854.666666666674,-1.4,-0.58
2022-05,2022-05-15,44,0.9517927778800226,10605.99999999997,2.85662018906797,31359.999999999978,0.036370780212263976,406.0000000000109,3.3175664263285456,36205.99999999999,2.0701857985362597,22657.33333333333,0.95,2.07
2022-07,2022-07-15,44,2.559651027010752,38735.00000000003,2.559651027010752,38735.00000000003,2.559651027010752,38735.00000000003,2.559651027010752,38735.00000000003,2.559651027010752,38735.00000000003,2.56,2.56
2022-09,2022-09-15,43,1.101441582229261,19281.999999999873,-1.569963958970971,-27424.99999999999,-1.569963958970971,-27424.99999999999,-3.6071873383833615,-61741.00000000007,-2.249038418775101,-38863.666666666686,1.1,-2.25
2022-11,2022-11-15,43,3.0415829606039915,41597.999999999985,-3.589917686966927,-48760.00000000001,-3.671151047765765,-49814.00000000002,3.589917686966927,48760.00000000001,-1.2237170159219217,-16604.666666666675,3.04,-1.22
2023-01,2023-01-15,41,-1.8572349939848856,-16434.000000000015,3.7885939229504193,32820.0,-3.7885939229504193,-32820.0,-1.8572349939848856,-16434.000000000015,-0.6190783313282952,-5478.000000000005,-1.86,-0.62
2023-03,2023-03-15,42,-4.637372750173898,-69563.99999999997,-4.448780115462698,-66964.0,4.073838694695799,61690.0,-4.637372750173898,-69563.99999999997,-1.6707713903135992,-24945.99999999999,-4.64,-1.67
2023-05,2023-05-15,45,1.0419669317000517,14063.999999999949,-1.959529676527618,-26295.00000000002,-1.959529676527618,-26295.00000000002,-0.3021494813214409,-4086.000000000058,-1.4070696114588923,-18892.000000000033,1.04,-1.41
2023-07,2023-07-15,44,-4.521530374672079,-67875.00000000001,1.439274398986106,22380.000000000007,1.439274398986106,22380.000000000007,-2.55063184001155,-39363.0,0.109305652653554,1799.0000000000048,-4.52,0.11
2023-09,2023-09-15,43,-0.6424603064142108,-8893.000000000062,-2.1548480828552705,-29581.00000000006,-2.4904406618526425,-34081.00000000002,-1.3166358409712124,-18180.999999999993,-1.9873081952263751,-27281.000000000025,-0.64,-1.99
2023-11,2023-11-15,42,-2.7523331523701877,-38750.99999999996,-4.554593416073398,-62601.00000000001,-1.04855113587722,-14969.999999999978,-3.982319041925822,-55250.99999999998,-3.1951545312921463,-44273.99999999999,-2.75,-3.2
2024-01,2024-01-15,43,-1.0624597060459438,-13308.000000000084,-0.7609306020036392,-9546.00000000006,1.6191180694273537,20235.0,-1.3381123261877628,-16746.000000000007,-0.15997495292134942,-2019.0000000000225,-1.06,-0.16
2024-03,2024-03-15,42,-0.6919029333606591,-12643.000000000062,-3.1229976870253786,-55999.999999999985,-5.581665792597485,-96154.00000000003,-1.0622061479149567,-19380.99999999997,-3.255623209179273,-57178.33333333332,-0.69,-3.26
2024-05,2024-05-15,43,1.2231481591215352,25600.00000000002,-2.3978802957315035,-49753.99999999998,1.2231481591215352,25600.00000000002,1.2231481591215352,25600.00000000002,0.016138674170522282,482.0000000000194,1.22,0.02
2024-07,2024-07-15,45,-0.0562834001366491,-894.0000000000355,-0.406888787480929,-6460.000000000011,-0.406888787480929,-6460.000000000011,0.2081705310830989,3305.999999999983,-0.20186901462625303,-3204.6666666666792,-0.06,-0.2
2024-09,2024-09-15,44,-1.0259101817857401,-19212.000000000007,1.9081054918379117,35550.0,1.9081054918379117,35550.0,-1.369327535683,-25603.999999999985,0.8156278159976078,15165.333333333338,-1.03,0.82
2024-11,2024-11-15,42,-0.6704712563219161,-9889.999999999996,-2.700677137848088,-39319.999999999985,-2.700677137848088,-39319.999999999985,-1.0906146791968656,-16082.000000000025,-2.1639896516310135,-31574.0,-0.67,-2.16
