Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,48,50,444178.00000000006,3.79826353421859,0.7347950342001149,109,
In-Sample,Medoid 1,234,260,179042.99999999988,3.79826353421859,0.330945,19,
In-Sample,Medoid 2,40,148,225758.99999999985,3.79826353421859,0.326949,31,
In-Sample,Medoid 3,40,52,243082.9999999994,3.79826353421859,0.30339,76,
In-Sample,Medoid 4,38,252,199986.0,3.79826353421859,0.301889,17,
In-Sample,Medoid 5,190,236,206276.0000000001,3.79826353421859,0.272797,19,
Out-of-Sample,Best,48,50,-94672.00000000035,2.458725182863114,-0.29476009787763524,48,
Out-of-Sample,Medoid 1,234,260,-120420.99999999999,2.458725182863114,-0.37492952670629437,8,
Out-of-Sample,Medoid 2,40,148,-126400.99999999978,2.458725182863114,-0.39355609092297045,12,
Out-of-Sample,Medoid 3,40,52,-238087.00000000006,2.458725182863114,-0.7418011235796718,24,
Out-of-Sample,Medoid 4,38,252,-102837.99999999983,2.458725182863114,-0.3201570265720974,6,
Out-of-Sample,Medoid 5,190,236,-258600.00000000012,2.458725182863114,-0.8059285237288295,8,
Full,Best,48,50,349505.99999999965,3.358490566037736,0.37705269737346986,157,7.0
Full,Medoid 1,234,260,58621.99999999997,3.358490566037736,0.0632234670233202,18,7.0
Full,Medoid 2,40,148,99358.0,3.358490566037736,0.10715675115919042,32,7.0
Full,Medoid 3,40,52,4995.999999999287,3.358490566037736,0.005387884969827764,79,7.0
Full,Medoid 4,38,252,97148.00000000015,3.358490566037736,0.10477857475591681,18,7.0
Full,Medoid 5,190,236,-52323.99999999994,3.358490566037736,-0.05643242919589863,18,7.0
