Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,48,50,444178.00000000006,3.79826353421859,0.7347950342001149,109,
In-Sample,Medoid 1,198,236,235201.99999999983,3.79826353421859,0.329422,19,
In-Sample,Medoid 2,42,258,244956.0,3.79826353421859,0.313407,11,
In-Sample,Medoid 3,40,52,243082.9999999994,3.79826353421859,0.30339,76,
In-Sample,Medoid 4,40,144,218108.9999999999,3.79826353421859,0.288278,33,
In-Sample,Medoid 5,234,262,153715.9999999999,3.79826353421859,0.281377,19,
Out-of-Sample,Best,48,50,-94672.00000000035,2.458725182863114,-0.29476009787763524,48,
Out-of-Sample,Medoid 1,198,236,-225767.00000000017,2.458725182863114,-0.7034193018139303,8,
Out-of-Sample,Medoid 2,42,258,-166887.9999999999,2.458725182863114,-0.5197178554083488,6,
Out-of-Sample,Medoid 3,40,52,-238087.00000000006,2.458725182863114,-0.7418011235796718,24,
Out-of-Sample,Medoid 4,40,144,-174261.99999999994,2.458725182863114,-0.5427051443276281,14,
Out-of-Sample,Medoid 5,234,262,-111120.99999999991,2.458725182863114,-0.34597405882022714,8,
Full,Best,48,50,349505.99999999965,3.358490566037736,0.37705269737346986,157,7.0
Full,Medoid 1,198,236,9434.99999999965,3.358490566037736,0.010175947314055498,18,7.0
Full,Medoid 2,42,258,78068.00000000009,3.358490566037736,0.08419759234316414,12,7.0
Full,Medoid 3,40,52,4995.999999999287,3.358490566037736,0.005387884969827764,79,7.0
Full,Medoid 4,40,144,43846.99999999997,3.358490566037736,0.047288496003333666,34,7.0
Full,Medoid 5,234,262,42595.000000000044,3.358490566037736,0.04593777659802827,18,7.0
