period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-01,2021-01-15,39,-1.081875881162793,-19625.0,-1.081875881162793,-19625.0,-0.9356452337852343,-17006.875,-1.081875881162793,-19625.0,-1.03313233203694,-18752.291666666668,-1.08,-1.03
2021-03,2021-03-15,45,-0.7453762826271305,-7445.3125,-0.7453762826271305,-7445.3125,-0.38363158929552266,-3840.9375,-0.7453762826271305,-7445.3125,-0.6247947181832613,-6243.854166666667,-0.75,-0.62
2021-05,2021-05-15,43,4.06631816229241,56912.8125,4.06631816229241,56912.8125,2.358826042390344,33695.3125,2.6309300255416623,37551.5625,3.0186914100748052,42719.895833333336,4.07,3.02
2021-07,2021-07-15,44,1.5955689679224359,14865.3125,1.5955689679224359,14865.3125,-2.3201053615303917,-21507.8125,-2.3201053615303917,-21507.8125,-1.014880585046116,-9383.4375,1.6,-1.01
2021-09,2021-09-15,43,6.03845711622497,72414.0625,6.03845711622497,72414.0625,-5.965921043038084,-72067.8125,6.03845711622497,72414.0625,2.0369977298039523,24253.4375,6.04,2.04
2021-11,2021-11-15,44,0.5202242761593034,6375.0,0.5202242761593034,6375.0,0.5202242761593034,6375.0,0.5202242761593034,6375.0,0.5202242761593034,6375.0,0.52,0.52
2022-01,2022-01-15,41,4.1668301786124,62695.3125,4.1668301786124,62695.3125,4.1668301786124,62695.3125,4.1668301786124,62695.3125,4.1668301786124,62695.3125,4.17,4.17
2022-03,2022-03-15,43,5.496944600551436,60843.75,5.496944600551436,60843.75,5.496944600551436,60843.75,5.496944600551436,60843.75,5.496944600551436,60843.75,5.5,5.5
2022-05,2022-05-15,44,0.5347092487506226,7695.3125,0.5347092487506226,7695.3125,0.5347092487506226,7695.3125,0.5347092487506226,7695.3125,0.5347092487506226,7695.3125,0.53,0.53
2022-07,2022-07-15,44,2.0763503896481414,18484.375,2.0763503896481414,18484.375,2.0763503896481414,18484.375,2.0763503896481414,18484.375,2.0763503896481414,18484.375,2.08,2.08
2022-09,2022-09-15,43,4.156338742739229,49164.0625,4.156338742739229,49164.0625,4.156338742739229,49164.0625,4.156338742739229,49164.0625,4.156338742739229,49164.0625,4.16,4.16
2022-11,2022-11-15,43,-0.023636722328742917,-242.1875,-0.023636722328742917,-242.1875,-0.023636722328742917,-242.1875,-0.023636722328742917,-242.1875,-0.023636722328742917,-242.1875,-0.02,-0.02
2023-01,2023-01-15,41,2.8788639054970138,32250.0,2.8788639054970138,32250.0,-4.830889153635731,-52550.625,2.8788639054970138,32250.0,0.30894621911943226,3983.125,2.88,0.31
2023-03,2023-03-15,43,-2.02309745602932,-43304.6875,-2.02309745602932,-43304.6875,-2.3661680421069478,-50490.3125,-2.02309745602932,-43304.6875,-2.137454318055196,-45699.895833333336,-2.02,-2.14
2023-05,2023-05-15,45,5.1885115583394095,50585.9375,5.1885115583394095,50585.9375,-3.200784052442213,-32206.5625,5.1885115583394095,50585.9375,2.392079688078869,22988.4375,5.19,2.39
2023-07,2023-07-15,44,0.387780794608183,3453.125,0.387780794608183,3453.125,0.387780794608183,3453.125,0.387780794608183,3453.125,0.387780794608183,3453.125,0.39,0.39
2023-09,2023-09-15,43,2.4502309744344033,26742.1875,2.4502309744344033,26742.1875,2.4502309744344033,26742.1875,2.4502309744344033,26742.1875,2.4502309744344033,26742.1875,2.45,2.45
2023-11,2023-11-15,42,-3.0998482909637253,-44585.9375,-3.0998482909637253,-44585.9375,-3.0041397245058437,-43288.4375,-3.0998482909637253,-44585.9375,-3.0679454354777644,-44153.4375,-3.1,-3.07
2024-01,2024-01-15,43,2.839694680806975,31437.5,2.839694680806975,31437.5,-2.839694680806975,-31437.5,2.839694680806975,31437.5,0.946564893602325,10479.166666666666,2.84,0.95
2024-03,2024-03-15,42,3.4730955381453925,41343.75,3.4730955381453925,41343.75,2.232354369752764,26929.375,-2.194257641875605,-26505.0,1.170397422007517,13922.708333333334,3.47,1.17
2024-05,2024-05-15,43,-1.311298554140198,-14984.375,-1.311298554140198,-14984.375,-1.311298554140198,-14984.375,-1.311298554140198,-14984.375,-1.311298554140198,-14984.375,-1.31,-1.31
2024-07,2024-07-15,45,-4.014617475278223,-57867.1875,-4.014617475278223,-57867.1875,1.4943643568638378,22131.5625,-4.014617475278223,-57867.1875,-2.178290197897536,-31200.9375,-4.01,-2.18
2024-09,2024-09-15,44,-0.17039494166950822,-1988.125,-0.17039494166950822,-1988.125,-2.989234107785117,-34234.375,-5.840070586919462,-63758.125,-2.9998998787913624,-33326.875,-0.17,-3.0
2024-11,2024-11-15,42,-2.905951963707953,-25436.5625,-2.905951963707953,-25436.5625,-1.2741228273155447,-11307.1875,-1.4110577224896126,-12523.4375,-1.8637108378377034,-16422.395833333332,-2.91,-1.86
