Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,274,284,239130.3125,45.58397141398673,0.47502806328395514,20,
In-Sample,Medoid 1,274,284,239130.3125,45.58397141398673,0.774149,18,
In-Sample,Medoid 2,88,226,43804.6875,45.58397141398673,0.541197,10,
In-Sample,Medoid 3,260,282,120118.4375,45.58397141398673,0.458351,14,
In-Sample,Medoid 4,212,220,38678.4375,45.58397141398673,0.421961,39,
In-Sample,Medoid 5,64,80,69742.1875,45.58397141398673,0.401645,45,
Out-of-Sample,Best,274,284,480009.6875,36.22902338376891,1.1743214143846799,5,
Out-of-Sample,Medoid 1,274,284,480009.6875,36.22902338376891,1.1743214143846799,5,
Out-of-Sample,Medoid 2,88,226,329475.9375,36.22902338376891,0.8048779495768035,4,
Out-of-Sample,Medoid 3,260,282,355411.5625,36.22902338376891,0.8684095128906318,3,
Out-of-Sample,Medoid 4,212,220,507755.3125,36.22902338376891,1.2427924050404238,13,
Out-of-Sample,Medoid 5,64,80,-39269.6875,36.22902338376891,-0.09586595085045925,21,
Full,Best,274,284,719140.0,41.59859361265749,0.787210231914504,25,152.0
Full,Medoid 1,274,284,719140.0,41.59859361265749,0.787210231914504,25,152.0
Full,Medoid 2,88,226,373280.625,41.59859361265749,0.4082019281769056,14,152.0
Full,Medoid 3,260,282,475530.0,41.59859361265749,0.5201693982817513,21,152.0
Full,Medoid 4,212,220,546433.75,41.59859361265749,0.5978086594309723,59,152.0
Full,Medoid 5,64,80,30472.5,41.59859361265749,0.03331641282788831,59,152.0
