Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,274,284,239130.3125,45.58397141398673,0.47502806328395514,20,
In-Sample,Medoid 1,274,284,239130.3125,45.58397141398673,0.774149,18,
In-Sample,Medoid 2,60,84,117212.1875,45.58397141398673,0.578236,37,
In-Sample,Medoid 3,88,224,47242.1875,45.58397141398673,0.55235,10,
In-Sample,Medoid 4,212,228,80942.8125,45.58397141398673,0.525026,23,
In-Sample,Medoid 5,154,166,148884.6875,45.58397141398673,0.486029,36,
Out-of-Sample,Best,274,284,480009.6875,36.22902338376891,1.1743214143846799,5,
Out-of-Sample,Medoid 1,274,284,480009.6875,36.22902338376891,1.1743214143846799,5,
Out-of-Sample,Medoid 2,60,84,-31942.8125,36.22902338376891,-0.07788424970823628,17,
Out-of-Sample,Medoid 3,88,224,307569.6875,36.22902338376891,0.751218253645321,4,
Out-of-Sample,Medoid 4,212,228,514432.1875,36.22902338376891,1.2588792636809103,9,
Out-of-Sample,Medoid 5,154,166,392982.1875,36.22902338376891,0.9603647318026276,18,
Full,Best,274,284,719140.0,41.59859361265749,0.787210231914504,25,152.0
Full,Medoid 1,274,284,719140.0,41.59859361265749,0.787210231914504,25,152.0
Full,Medoid 2,60,84,85269.375,41.59859361265749,0.09316810516430406,49,152.0
Full,Medoid 3,88,224,354811.875,41.59859361265749,0.38795156433838063,14,152.0
Full,Medoid 4,212,228,595375.0,41.59859361265749,0.6512111711455694,35,152.0
Full,Medoid 5,154,166,541866.875,41.59859361265749,0.5926389355084362,54,152.0
